Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg]
11,45.14880562200156,25.000000000024272,3.0000000000000004,105.1040826430525,367.1483541315811,16.945349871888258,0.37532221812819305,0.17629945538566608,0.199022762742527
12,45.14880562200156,25.001175819473076,3.1500000000000004,105.12288641079195,367.16096772974134,17.627371857965723,0.39042830956696867,0.17638002714527828,0.21404828242169036
13,45.14880562200156,20.000000000012847,3.0000000000000004,84.19424925876591,296.4216479103904,8.98564002224324,0.19902276258365578,-1.588712223110633e-10,0.199022762742527
21,5.421336603365055,19.25994901922735,8.744776564202104,599.2603126794468,2390.122292748086,638.1276515440214,117.70670191331266,0.001692115105041239,117.70500979820761
22,5.421336603365055,110.4914050089319,39.33717464271021,699.650904159182,2459.0032008008607,1072.9088354652006,197.90485519737692,67.26742398890079,130.63743120847613
22c,5.421336603365055,77.60504566398072,39.03717464271021,424.96695297112007,1696.289503066529,795.90872809814,146.8104245001343,16.230339271089296,130.580085229045
23,5.421336603365055,77.60504566398072,39.03717464271021,424.96695297112007,1696.289503066529,795.90872809814,146.8104245001343,16.230339271089296,130.580085229045
24,5.421336603365055,15.000000000012903,8.919776564202103,424.96695297112007,1782.166906521484,659.4267915011046,121.63546367731429,2.956254280654772,118.67920939665952
31,14.666558304296704,76.99398176241965,11.354860276958997,659.4787778836272,2386.7475364116613,1434.0118688374093,97.77425890144264,52.85710484994168,44.91715405150096
32,14.666558304296704,130.29972088488375,31.241131664456375,708.0484002787186,2418.1566859911713,2011.3173796804488,137.13628909730068,88.67049654905708,48.4657925482436
32c,14.666558304296704,125.21266209501374,30.991131664456375,557.9447896066011,2042.2992010363635,1425.8138675683942,97.21530013968504,48.79397406833951,48.42132607134554
33,14.666558304296704,125.21266209501374,30.991131664456375,557.9447896066011,2042.2992010363635,1425.8138675683942,97.21530013968504,48.79397406833951,48.42132607134554
34,14.666558304296704,72.60504566398112,11.504860276958997,557.9447896066011,2091.8168610386538,1212.9126107990994,82.69919811001368,37.75518723790889,44.94401087210479
41,1.0,120.21009132796223,2.0,504.7041850380444,1530.1740813513566,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508
42,1.0,120.21266209501312,2.1750000000000003,504.72738373191606,1530.1858764342837,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606
43,1.0,120.21009132796223,2.0,2706.230741339982,7126.894757487327,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508
