Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,583.4359868976117,464.64673085564476,118.78925604196691,0.0,79.6397104892994,9.20995309475737,16.296067543890068,110.97380893118601,183.68626152439248,22.59458877944118,16.14608890267214,38.74067768211332,41.677352768991014,65.52217437025602,52.83537308069803,109.81237604016515
COMP2,671.0259346549623,543.8699667635443,127.15596789141803,0.0,81.05051365014664,9.858639905823619,17.443852334887932,127.4900659636705,206.9039810926083,24.15871264720479,18.86339932617239,43.02211197337718,43.84582360309365,62.29027691582459,52.77576526209874,105.67475976526477
IHX,288.20282299210083,237.51273114576202,50.690091846338824,0.0,82.41166019122299,3.93009758482526,6.953904654829178,113.92780396793493,145.00082883515014,20.03800929855774,6.934864006324002,26.97287330488174,25.71051266187826,54.43726269266532,109.80673917334475,169.58252223138828
MOT1,592.30596798797,583.4213784681504,8.884589519819594,0.0,98.49999999999999,0.6888388350104907,1.2188296798791922,106.61507423783458,110.84583498813058,1.5992261135675265,0.0,1.5992261135675265,0.0,3.9682575663344903,49.99999999999999,52.77576526209872
MOT2,681.2446037106216,671.0259346549623,10.218669055659324,0.0,98.5,0.7922725154556212,1.401844970565794,122.6240286679119,127.4900659636705,1.8393604300186785,0.0,1.8393604300186785,0.0,3.9682575663345077,50.00000000000001,52.77576526209874
MOT3,0.4328369166603753,0.4263443629104697,0.006492553749905653,0.0,98.5,0.000503379829912369,0.0008906789887077012,0.0779106449988676,0.08100234006401516,0.001168659674983018,0.0,0.001168659674983018,0.0,3.9682575663344863,50.000000000000036,52.775765262098744
MOT4,0.023551973473794195,0.023198693871687284,0.00035327960210691247,0.0,98.5,2.7390427999563525e-05,4.8464553526448095e-05,0.0042393552252829566,0.004407583759774044,6.359032837924425e-05,0.0,6.359032837924425e-05,0.0,3.9682575663344863,50.000000000000014,52.77576526209874
SNK_HX,585.5706714060043,560.8456796946695,24.72499171133479,0.0,95.77762464572072,1.916974830191787,3.391890381127454,267.034461362168,294.1462153838313,11.27519728398859,15.337937769335769,26.613135053324356,57.63296108708486,15.009016953504364,126.67341943401215,145.68585443244672
SNK_PUMP,0.023198693871687284,0.019740965311575567,0.0034577285601117185,0.0,85.09515846350435,0.00026808415941068954,0.0004743474287279938,0.004407583759774044,4.173937055092696,0.0006569433749826385,4.167882932430404,4.168539875805386,99.98424044402704,94598.98435479024,52.77576526209874,58732.029637279935
SRC_HX,38.891202101776145,-3.5970875123976106e-09,38.89120210537323,0.0,-9.24910344242955e-09,3.015307605451064,5.3352775957140155,143.48861564171338,-1.0570533077510589e-11,143.4886156549848,6.763803074959112,150.2524187299439,4.5016267505923,-99.92035109541354,1024.857721935639,0.8162879490914151
SRC_PUMP,0.4263443629104697,0.3438884647984796,0.08245589811199006,0.0,80.65978929588769,0.006392959930056541,0.011311687014441702,0.08100234006401516,4.326719827910457,0.015666023243642108,4.206452738857824,4.222118762101466,99.62895351537092,5241.475103671206,52.775765262098744,3494.931473110957
VAL1,170.11080662878985,16.050955824422523,154.0598508043673,0.0,9.43558856871944,11.944548244264327,21.134653235159924,67.24897871765964,140.61087895239567,60.903641769195566,0.0,60.903641769195566,0.0,2115.9718245763393,109.81237604016562,2433.4113129478883
VAL2,195.43692497943223,,195.43692497943223,0.0,,15.15259015856012,26.810954425961135,85.27930738211688,,85.27930738211688,0.0,85.27930738211688,0.0,inf,121.20890920446821,
TOT,1289.7921935084114,560.8478900926776,728.9443034157337,0.0,43.483585411313015,56.51641458868704,100.00000000000009,225.34139618476664,297.7618249355185,127.3548777077184,72.42042875075164,199.77530645847003,36.250941137115284,203.88040065457002,48.5309436578925,147.47602602904738
