Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg]
11,53.61545054362741,25.000000000024272,3.0000000000000004,105.1040826430525,367.1483541315811,20.123069823976675,0.37532221812819305,0.17629945538566608,0.199022762742527
12,53.61545054362741,25.001175819473076,3.1500000000000004,105.12288641079195,367.16096772974134,20.932989722419862,0.39042830956696867,0.17638002714527828,0.21404828242169036
13,53.61545054362741,20.000000000012847,3.0000000000000004,84.19424925876591,296.4216479103904,10.670695084360096,0.19902276258365578,-1.588712223110633e-10,0.199022762742527
21,1.2419073382434724,19.269498405633897,7.106851331508352,1635.5663262513417,5975.226172496897,333.6770426876631,268.68111042777866,0.0025851207684381735,268.6785253070102
22,1.2419073382434724,204.07618953742735,44.105619275396634,2028.9088443951864,6197.974604374945,741.0770642222991,596.7249257665735,297.9994755817531,298.72545018482043
22c,1.2419073382434724,77.60504566398077,43.80561927539664,732.0381195841294,2701.9794365451517,403.25375127804614,324.7051844048202,26.02863360513747,298.67655079968273
23,1.2419073382434724,77.60504566398077,43.80561927539664,732.0381195841294,2701.9794365451517,403.25375127804614,324.7051844048202,26.02863360513747,298.67655079968273
24,1.2419073382434724,15.000000000012847,7.281851331508352,732.0381195841294,2829.164247795219,356.9501956469466,287.420956986863,15.563937759055408,271.8570192278076
31,10.61214425138813,76.82869969246559,8.436463922502483,697.1676364564496,2498.287348992737,934.9268318354826,88.09971007632964,58.341845365190586,29.75786471113906
32,10.61214425138813,128.18457191094603,24.505543662122523,752.8500766602558,2534.5151885962177,1413.1339187706296,133.16195910037536,100.63788855239225,32.52407054798311
32c,10.61214425138813,125.21266209501391,24.255543662122523,545.3987543395955,2014.7342641928544,828.6430733091908,78.08441476856096,45.60328843923769,32.481126329323274
33,10.61214425138813,125.21266209501391,24.255543662122523,545.3987543395955,2014.7342641928544,828.6430733091908,78.08441476856096,45.60328843923769,32.481126329323274
34,10.61214425138813,72.60504566398112,8.586463922502483,545.3987543395955,2057.4311711320133,695.815126939612,65.56781649934652,35.78407365466317,29.783742844683353
41,1.0,120.21009132796223,2.0,504.7041850380444,1530.1740813513566,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508
42,1.0,120.21266209501312,2.1750000000000003,504.72738373191606,1530.1858764342837,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606
43,1.0,120.21009132796223,2.0,2706.230741339982,7126.894757487327,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508
