Connection,E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,340.45964693150125,10.666428603630651,10.467405840888125,0.199022762742527,0.0,-3.668940151690947e-14,-3.668940151690947e-14,0.0,-1.6043117431828498e-12,-2.993453266258665e-14
12,340.96118346651286,10.682141489698147,10.468093207276455,0.21404828242169036,0.14106738571473149,3.0836695190919317,3.2247369048066634,0.11727621003364234,125.37385108201703,2.6271619608663173
13,198.1573179912207,6.208168585293585,6.009145822551058,0.199022762742527,0.08097888266563857,2.867205567506126,2.9481844501717647,0.1172762100335221,125.3738510820167,4.1327775998865475
21,625.3479802947624,384.23008842239506,89.82622908706428,294.40385933533076,21.606510827396068,130.16971368065234,151.77622450804841,41.05334885302193,75.4629135994096,67.41856325093482
22,977.0702157595999,600.3373917018855,298.5395254179738,301.79786628391173,113.88841938008198,133.4389499251178,247.3273693051998,65.10957281022236,75.46291359940969,70.31433966678782
22c,564.1708946878891,346.64129345887164,44.89219865991699,301.7490947989547,17.12571071021998,133.41738577087423,150.5430964810942,65.10957281022239,75.46291359940976,74.12209171733019
23,564.1708946878891,346.64129345887164,44.89219865991699,301.7490947989547,17.12571071021998,133.41738577087415,150.54309648109412,65.10957281022239,75.4629135994097,74.12209171733014
24,522.132963960521,320.812093798136,26.379602612449204,294.4324911856868,10.06342875771732,130.1823731606313,140.24580191834863,65.10957281022228,75.4629135994096,74.61158342511177
31,1626.3987148910842,113.10068202162587,67.2982663473736,45.80241567425226,304.97746948476043,191.07104886366818,496.0485183484286,87.53859674880579,80.58277229818268,84.72169452372769
32,1983.815949001045,137.95567764723836,89.48988509899478,48.4657925482436,397.5528458799957,202.18169019865863,599.7345360786543,85.81369784944226,80.58277229818269,83.9759992717083
32c,1397.9653914439054,97.2153001396851,48.793974068339566,48.42132607134554,216.76397540576357,201.99619220133445,418.760167607098,85.81369784944229,80.58277229818269,83.20826072783146
33,1397.9653914439054,97.2153001396851,48.793974068339566,48.42132607134554,216.76397540576357,201.99619220133445,418.760167607098,85.81369784944229,80.58277229818269,83.20826072783146
34,1289.6436778088976,89.68254720665597,43.85332049547398,45.82922671118198,194.81545143317015,191.1828947755458,385.998346208716,85.81369784944214,80.58277229818269,83.14061060487967
41,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508,0.0,0.0,0.0,0.0,0.0,0.0
42,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606,0.34275649563413446,2.7183863689582224,3.0611428645923566,1.6154343874847945,6488.260137828916,14.398939311443812
43,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508,196.15381950714573,2.308911997256762,198.4627315044025,87.91323821643914,6488.260137828917,88.93387422718625
