Connection,E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,350.87184516478015,10.666428603630651,10.467405840888125,0.199022762742527,0.0,-1.3270634591222574e-14,-1.3270634591222574e-14,0.0,-5.630629477075742e-13,-1.0506079177482939e-14
12,351.3887200769959,10.682141489757402,10.468093207335711,0.21404828242169036,0.1410097522343789,3.0824094114483906,3.22341916368277,0.11374952133789776,121.60364250744742,2.5481586658157522
13,204.21751718044973,6.208168585293585,6.009145822551058,0.199022762742527,0.08094579851311437,2.866033915476361,2.9469797139894753,0.11374952133780648,121.60364250744779,4.008497838042244
21,644.4728521974789,384.23008842239506,89.82622908706428,294.40385933533076,19.363189056680863,127.96268743909053,147.32587649577138,35.69915690117626,71.98203090907782,63.49973384079623
22,1006.9517270224236,600.3373917018855,298.5395254179738,301.79786628391173,110.080458738779,131.17649381452262,241.25695255330163,61.06503843376566,71.98203090907778,66.55316074769743
22c,581.4248020037182,346.6412934588715,44.892198659916815,301.7490947989547,16.553097333953627,131.15529528030635,147.70839261425996,61.06503843376566,71.98203090907774,70.56821263578344
23,581.4248020037182,346.6412934588715,44.892198659916815,301.7490947989547,16.553097333953627,131.15529528030632,147.70839261425994,61.06503843376566,71.98203090907772,70.56821263578342
24,538.1012350137411,320.81209379813583,26.37960261244903,294.4324911856868,9.726949062639102,127.9751322777084,137.7020813403475,61.06503843376566,71.98203090907782,71.08435301978028
31,1601.119168419997,498.94793062033875,199.07893126091616,299.8689993594226,182.11552800207244,249.18717110919795,431.3026991112704,79.18642651583777,71.93217255810092,74.82660108735847
32,1919.8122253270344,598.2604892250492,290.41624801313577,307.8442412119135,258.01562980256756,255.81449157373214,513.8301213762998,76.90492850713069,71.93217255810112,74.34611957785643
32c,1313.7093785024965,409.3840038697307,101.58020308363153,307.80380078609915,90.24729247555887,255.78088611491935,346.0281785904782,76.90492850713069,71.93217255810103,73.16605945747413
33,1313.7093785024965,409.3840038697307,101.58020308363153,307.80380078609915,90.24729247555887,255.78088611491924,346.0281785904781,76.90492850713069,71.93217255810102,73.16605945747412
34,1251.3263554941177,389.9439266726117,90.05050237390434,299.89342429870743,80.00391590690073,249.20746791059423,329.21138381749495,76.9049285071307,71.93217255810093,73.0805406714705
41,59.03443267864294,59.03443267864294,58.93558268957684,0.09884998906610508,0.0,0.0,0.0,0.0,0.0,0.0
42,59.05417364395452,59.05417364395452,58.937793087585014,0.11638055636950606,0.3427333294060494,2.718202638643996,3.0609359680500456,1.615325203495713,6487.821609263766,14.39796611584718
43,619.8823227713206,619.8823227713206,619.7834727822544,0.09884998906610508,176.3291745260158,2.308755942498829,178.63793046851464,79.02812580230683,6487.821609263767,80.05010875373999
