f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R717,R600,R717/R600,0.4,50,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.516,0.438,1128.2,1800.0,15.0,80.0,184.9,70.0,105.0,106.7,7.28,41.41,8.09,16.8,493.0,827.2,262.4,163.66,448.48,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,40,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.516,0.472,1128.2,1800.0,15.0,80.0,184.9,70.0,105.0,106.7,7.28,41.41,8.09,16.8,493.0,827.2,262.4,163.66,448.48,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,50,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.514,0.438,1128.2,1800.0,15.0,75.0,172.8,65.0,105.0,106.3,7.28,37.1,7.2,16.8,478.6,934.5,235.75,190.57,448.75,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.514,0.505,1128.2,1800.0,15.0,75.0,172.8,65.0,105.0,106.3,7.28,37.1,7.2,16.8,478.6,934.5,235.75,190.57,448.75,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,60,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.513,0.404,1128.2,1800.0,15.0,82.0,189.7,72.0,105.0,106.9,7.28,43.24,8.47,16.8,498.7,788.2,273.33,153.15,448.92,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.6,30,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.513,0.505,1128.2,1800.0,15.0,82.0,189.7,72.0,105.0,106.9,7.28,43.24,8.47,16.8,498.7,788.2,273.33,153.15,448.92,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.512,0.471,1128.2,1800.0,15.0,74.0,170.4,64.0,105.0,106.2,7.28,36.27,7.03,16.8,475.7,957.8,230.53,196.06,449.04,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.5,50,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.506,0.437,1128.2,1800.0,15.0,85.0,196.9,75.0,105.0,107.1,7.28,46.1,9.06,16.8,507.2,733.6,290.01,137.64,450.16,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,60,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.503,0.402,1128.2,1800.0,15.0,86.0,199.3,76.0,105.0,107.2,7.28,47.08,9.27,16.8,510.0,716.3,295.65,132.54,450.73,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.6,40,100.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.503,0.47,1128.2,1800.0,15.0,86.0,199.3,76.0,105.0,107.2,7.28,47.08,9.27,16.8,510.0,716.3,295.65,132.54,450.73,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.494,0.468,1128.2,1800.0,15.0,68.0,155.6,58.0,105.0,105.7,7.28,31.63,6.08,16.8,458.2,1112.6,200.05,229.73,452.39,R717-HP,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
