f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.3,20.0,100.0,2.162,0.492,V_OUT,COMP1,242177.8,214.66
R1270,R600,R1270/R600,0.3,20.0,100.0,2.162,0.492,V_OUT,COMP2,508298.0,450.54
R1270,R600,R1270/R600,0.3,20.0,100.0,2.162,0.492,V_OUT,IHX,169735.8,150.45
R1270,R600,R1270/R600,0.3,20.0,100.0,2.162,0.492,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,100.0,2.162,0.492,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,100.0,2.162,0.492,V_OUT,SNK_HX,174749.5,154.89
R1270,R600,R1270/R600,0.3,20.0,100.0,2.162,0.492,V_OUT,SRC_HX,109666.5,97.2
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,COMP1,212714.3,188.54
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,COMP2,427601.9,379.01
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,IHX,181238.8,160.64
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,SNK_HX,175576.8,155.63
R1270,R600,R1270/R600,0.3,30.0,100.0,2.378,0.478,OK,SRC_HX,116667.8,103.41
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,COMP1,232096.3,205.72
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,COMP2,364251.5,322.86
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,IHX,181350.8,160.74
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,SNK_HX,177001.5,156.89
R1270,R600,R1270/R600,0.3,40.0,100.0,2.368,0.444,OK,SRC_HX,89655.0,79.47
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,COMP1,254770.2,225.82
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,COMP2,313315.9,277.71
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,IHX,87059.4,77.17
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,SNK_HX,178450.3,158.17
R1270,R600,R1270/R600,0.3,50.0,100.0,2.318,0.404,OK,SRC_HX,74369.4,65.92
R1270,R600,R1270/R600,0.4,20.0,100.0,2.168,0.494,OK,COMP1,267906.2,237.46
R1270,R600,R1270/R600,0.4,20.0,100.0,2.168,0.494,OK,COMP2,417630.3,370.17
R1270,R600,R1270/R600,0.4,20.0,100.0,2.168,0.494,OK,IHX,170095.4,150.77
R1270,R600,R1270/R600,0.4,20.0,100.0,2.168,0.494,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,100.0,2.168,0.494,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,100.0,2.168,0.494,OK,SNK_HX,175773.8,155.8
R1270,R600,R1270/R600,0.4,20.0,100.0,2.168,0.494,OK,SRC_HX,110524.8,97.97
R1270,R600,R1270/R600,0.4,30.0,100.0,2.368,0.476,OK,COMP1,232096.3,205.72
R1270,R600,R1270/R600,0.4,30.0,100.0,2.368,0.476,OK,COMP2,364251.5,322.86
R1270,R600,R1270/R600,0.4,30.0,100.0,2.368,0.476,OK,IHX,181350.8,160.74
R1270,R600,R1270/R600,0.4,30.0,100.0,2.368,0.476,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,100.0,2.368,0.476,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.4,30.0,100.0,2.368,0.476,OK,SNK_HX,177001.5,156.89
