Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,230.8,192.8,37.99,0,83.54,7.254,14.19,39.94,48.12,6.574,5.339,11.91,44.82,20.47,48.07,69.33
COMP2,264.7,223.6,41.03,0,84.5,7.836,15.33,45.34,56.71,7.029,8.307,15.34,54.17,25.09,47.58,70.44
IHX,112.5,85.3,27.2,0,75.82,5.194,10.16,28.08,33.49,6.788,3.382,10.17,33.25,57.32,69.33,109.1
MOT1,242.1,230,12.1,0,95,2.311,4.522,38.49,39.4,1.925,0,1.925,0,2.35,44.17,47.58
MOT2,278.6,264.7,13.93,0,95,2.66,5.205,44.3,45.34,2.215,0,2.215,0,2.35,44.17,47.58
SNK_HX,253.6,241.9,11.72,0,95.38,2.238,4.379,74.34,78.71,3.436,3.496,6.932,50.44,11.01,81.43,90.39
SRC_HX,34.15,11.16,22.99,0,32.67,4.391,8.591,22.88,26.79,15.41,2.191,17.6,12.45,258.3,186.1,667
VAL1,80.31,34.97,45.34,0,43.54,8.659,16.94,20.04,23.43,11.32,0,11.32,0,168.5,69.33,186.1
VAL2,55.34,,55.34,0,,10.57,20.67,15.86,,15.86,0,15.86,0,inf,79.63,
TOT,523.7,241.9,267.6,14.14,46.19,51.11,100,82.79,105.5,42.31,22.72,65.03,34.93,175.9,43.91,121.2
