f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600a,R717/R600a,0.5,60.0,100.0,3.315,0.412,OK,1128.2,80.604,16.071,776.6,688.3,268.6,568.8,500.34,241.88,181.11,0.483
R717,R600a,R717/R600a,0.4,60.0,100.0,3.301,0.411,OK,1128.2,81.149,16.325,788.8,699.2,261.3,625.6,501.73,241.88,182.39,0.482
R717,R600,R717/R600,0.5,60.0,100.0,3.375,0.42,OK,1128.2,81.251,17.597,850.3,753.7,271.2,660.5,494.29,241.88,175.54,0.489
R717,R600,R717/R600,0.4,60.0,100.0,3.377,0.42,OK,1128.2,81.62,17.945,867.1,768.6,264.5,726.9,494.12,241.88,175.39,0.49
R717,R600a,R717/R600a,0.3,60.0,100.0,3.274,0.407,OK,1128.2,82.003,16.606,802.4,711.2,253.7,688.6,504.64,241.88,185.06,0.479
R717,R600,R717/R600,0.3,60.0,100.0,3.365,0.419,OK,1128.2,82.271,18.325,885.5,784.9,257.6,801.0,495.3,241.88,176.47,0.488
R290,R600a,R290/R600a,0.3,60.0,100.0,3.054,0.378,OK,1128.2,88.231,18.083,873.8,774.5,452.4,688.6,529.46,241.88,207.87,0.457
R290,R600,R290/R600,0.3,60.0,100.0,3.129,0.388,OK,1128.2,88.822,20.021,967.5,857.5,459.1,801.0,520.5,241.88,199.64,0.465
R290,R600a,R290/R600a,0.4,60.0,100.0,3.007,0.372,OK,1128.2,89.023,17.87,863.5,765.4,483.4,625.6,535.13,241.88,213.08,0.452
R717,R600a,R717/R600a,0.5,50.0,100.0,2.935,0.441,OK,1128.2,89.443,16.768,810.3,718.2,322.7,640.7,477.49,241.88,199.96,0.507
R290,R600,R290/R600,0.4,60.0,100.0,3.066,0.38,OK,1128.2,89.825,19.713,952.6,844.3,489.2,726.9,527.93,241.88,206.47,0.458
R717,R600,R717/R600,0.5,50.0,100.0,2.995,0.451,OK,1128.2,89.925,18.399,889.1,788.0,326.8,744.7,469.87,241.88,192.76,0.515
R717,R600a,R717/R600a,0.4,50.0,100.0,2.912,0.438,OK,1128.2,90.398,17.116,827.1,733.1,311.4,722.8,480.53,241.88,202.84,0.503
R290,R600a,R290/R600a,0.5,60.0,100.0,2.931,0.362,OK,1128.2,90.617,17.695,855.0,757.9,517.8,568.8,544.97,241.88,222.1,0.444
R717,R600,R717/R600,0.4,50.0,100.0,2.988,0.449,OK,1128.2,90.631,18.873,912.0,808.4,316.6,841.3,470.76,241.88,193.59,0.514
R290,R600,R290/R600,0.5,60.0,100.0,2.974,0.368,OK,1128.2,91.601,19.446,939.7,832.9,522.7,660.5,539.34,241.88,216.94,0.448
R717,R600,R717/R600,0.3,50.0,100.0,2.965,0.446,OK,1128.2,91.77,19.402,937.5,831.0,306.1,952.5,473.67,241.88,196.35,0.511
R717,R600a,R717/R600a,0.3,50.0,100.0,2.872,0.431,OK,1128.2,91.829,17.508,846.0,749.9,299.8,816.6,485.91,241.88,207.91,0.498
R1270,R600a,R1270/R600a,0.3,50.0,100.0,2.713,0.406,OK,1128.2,96.845,18.213,880.1,780.1,424.3,816.6,508.95,241.88,229.68,0.475
R1270,R600,R1270/R600,0.3,50.0,100.0,2.792,0.419,OK,1128.2,97.076,20.284,980.1,868.8,432.9,952.5,497.18,241.88,218.57,0.486
R290,R600a,R290/R600a,0.3,50.0,100.0,2.733,0.409,OK,1128.2,97.086,18.902,913.4,809.6,501.2,816.6,505.93,241.88,226.83,0.478
R1270,R600a,R1270/R600a,0.4,50.0,100.0,2.685,0.402,OK,1128.2,97.246,17.86,863.0,765.0,458.3,722.8,513.36,241.88,233.84,0.471
R290,R600a,R290/R600a,0.4,50.0,100.0,2.712,0.406,OK,1128.2,97.325,18.595,898.5,796.4,541.6,722.8,509.17,241.88,229.89,0.475
R290,R600,R290/R600,0.3,50.0,100.0,2.813,0.422,OK,1128.2,97.358,21.016,1015.5,900.1,511.5,952.5,494.12,241.88,215.68,0.49
R1270,R600,R1270/R600,0.4,50.0,100.0,2.745,0.411,OK,1128.2,97.782,19.799,956.7,848.0,465.7,841.3,504.1,241.88,225.1,0.48
R290,R600,R290/R600,0.4,50.0,100.0,2.774,0.416,OK,1128.2,97.902,20.577,994.3,881.3,550.5,841.3,499.86,241.88,221.1,0.484
R717,R600a,R717/R600a,0.5,40.0,100.0,2.63,0.463,OK,1128.2,98.54,17.592,850.1,753.5,393.0,722.8,472.91,241.88,220.46,0.511
R290,R600a,R290/R600a,0.5,50.0,100.0,2.656,0.397,OK,1128.2,98.632,18.344,886.4,785.7,586.5,640.7,517.91,241.88,238.14,0.467
R717,R600,R717/R600,0.5,40.0,100.0,2.688,0.474,OK,1128.2,98.858,19.34,934.5,828.3,399.6,841.3,463.66,241.88,211.46,0.522
R290,R600,R290/R600,0.5,50.0,100.0,2.701,0.404,OK,1128.2,99.467,20.203,976.2,865.3,593.9,744.7,510.79,241.88,231.42,0.474
R717,R600,R717/R600,0.4,40.0,100.0,2.673,0.471,OK,1128.2,99.992,19.96,964.5,854.9,384.4,976.8,465.97,241.88,213.7,0.519
R717,R600a,R717/R600a,0.4,40.0,100.0,2.599,0.458,OK,1128.2,100.004,18.047,872.1,773.0,376.2,837.0,478.07,241.88,225.48,0.506
R717,R600,R717/R600,0.3,40.0,100.0,2.641,0.465,OK,1128.2,101.742,20.663,998.5,885.0,368.6,1138.1,471.13,241.88,218.73,0.513
R717,R600a,R717/R600a,0.3,40.0,100.0,2.549,0.448,OK,1128.2,102.148,18.571,897.4,795.4,358.5,971.9,486.51,241.88,233.7,0.497
R1270,R600a,R1270/R600a,0.4,40.0,100.0,2.445,0.429,OK,1128.2,105.646,18.63,900.3,798.0,515.5,837.0,505.3,241.88,251.95,0.479
R1270,R600,R1270/R600,0.3,40.0,100.0,2.532,0.445,OK,1128.2,105.924,21.374,1032.8,915.5,485.0,1138.1,489.56,241.88,236.66,0.494
R1270,R600,R1270/R600,0.4,40.0,100.0,2.508,0.441,OK,1128.2,105.937,20.72,1001.2,887.5,526.5,976.8,493.75,241.88,240.73,0.49
R1270,R600a,R1270/R600a,0.3,40.0,100.0,2.45,0.43,OK,1128.2,106.045,19.11,923.4,818.5,472.1,971.9,504.46,241.88,251.15,0.479
R290,R600a,R290/R600a,0.4,40.0,100.0,2.459,0.432,OK,1128.2,106.107,19.434,939.1,832.4,616.0,837.0,502.76,241.88,249.49,0.481
R290,R600,R290/R600,0.4,40.0,100.0,2.522,0.443,OK,1128.2,106.447,21.572,1042.4,923.9,629.2,976.8,491.18,241.88,238.24,0.492
R290,R600,R290/R600,0.3,40.0,100.0,2.542,0.447,OK,1128.2,106.504,22.163,1070.9,949.2,578.7,1138.1,487.78,241.88,234.93,0.496
R290,R600a,R290/R600a,0.3,40.0,100.0,2.459,0.432,OK,1128.2,106.576,19.852,959.3,850.3,563.1,971.9,502.71,241.88,249.44,0.481
R1270,R600a,R1270/R600a,0.5,40.0,100.0,2.403,0.421,OK,1128.2,106.67,18.234,881.1,781.0,563.6,722.8,513.39,241.88,259.82,0.471
R290,R600a,R290/R600a,0.5,40.0,100.0,2.422,0.425,OK,1128.2,106.996,19.099,922.9,818.0,674.3,722.8,509.74,241.88,256.27,0.475
R1270,R600,R1270/R600,0.5,40.0,100.0,2.448,0.43,OK,1128.2,107.306,20.163,974.3,863.6,572.6,841.3,504.75,241.88,251.42,0.479
R290,R600,R290/R600,0.5,40.0,100.0,2.468,0.433,OK,1128.2,107.681,21.076,1018.4,902.7,685.3,841.3,501.06,241.88,247.84,0.483
R717,R600a,R717/R600a,0.5,30.0,100.0,2.379,0.481,OK,1128.2,107.923,18.568,897.2,795.3,486.5,816.6,487.7,241.88,242.77,0.496
R717,R600,R717/R600,0.5,30.0,100.0,2.435,0.493,OK,1128.2,108.083,20.448,988.1,875.8,496.7,952.5,476.75,241.88,231.79,0.507
R717,R600,R717/R600,0.4,30.0,100.0,2.414,0.488,OK,1128.2,109.73,21.235,1026.1,909.5,474.2,1138.1,480.82,241.88,235.87,0.503
R717,R600a,R717/R600a,0.4,30.0,100.0,2.341,0.473,OK,1128.2,109.987,19.146,925.2,820.0,461.2,971.9,495.37,241.88,250.46,0.488
R717,R600,R717/R600,0.3,30.0,100.0,2.374,0.48,OK,1128.2,110.683,20.808,1005.5,891.2,450.4,1367.4,488.72,241.88,243.79,0.495
R717,R600a,R717/R600a,0.3,30.0,100.0,2.284,0.461,OK,1128.2,111.481,18.522,895.0,793.3,434.4,1161.5,507.48,241.88,262.59,0.477
R1270,R600a,R1270/R600a,0.4,30.0,100.0,2.237,0.451,OK,1128.2,114.539,19.531,943.8,836.5,588.8,971.9,517.87,241.88,273.0,0.467
R1270,R600,R1270/R600,0.4,30.0,100.0,2.3,0.464,OK,1128.2,114.58,21.79,1052.9,933.3,604.9,1138.1,503.89,241.88,259.0,0.48
R1270,R600a,R1270/R600a,0.5,30.0,100.0,2.213,0.446,OK,1128.2,114.923,19.022,919.2,814.7,650.4,816.6,523.18,241.88,278.31,0.462
R290,R600a,R290/R600a,0.4,30.0,100.0,2.242,0.452,OK,1128.2,115.31,20.409,986.2,874.1,710.6,971.9,516.57,241.88,271.7,0.468
R1270,R600,R1270/R600,0.3,30.0,100.0,2.305,0.465,OK,1128.2,115.387,22.639,1093.9,969.6,551.5,1367.4,502.97,241.88,258.07,0.481
R1270,R600,R1270/R600,0.5,30.0,100.0,2.259,0.455,OK,1128.2,115.404,21.077,1018.5,902.7,663.5,952.5,512.89,241.88,268.01,0.472
R290,R600,R290/R600,0.4,30.0,100.0,2.307,0.465,OK,1128.2,115.408,22.719,1097.8,973.1,730.1,1138.1,502.58,241.88,257.69,0.481
R290,R600a,R290/R600a,0.5,30.0,100.0,2.222,0.447,OK,1128.2,115.67,19.981,965.5,855.8,786.8,816.6,521.24,241.88,276.37,0.464
R1270,R600a,R1270/R600a,0.3,30.0,100.0,2.222,0.447,OK,1128.2,115.877,20.159,974.1,863.4,532.5,1161.5,521.25,241.88,276.38,0.464
R290,R600,R290/R600,0.3,30.0,100.0,2.309,0.466,OK,1128.2,116.203,23.487,1134.9,1006.0,664.0,1367.4,502.1,241.88,257.21,0.482
R290,R600,R290/R600,0.5,30.0,100.0,2.268,0.457,OK,1128.2,116.208,22.088,1067.3,946.0,802.9,952.5,510.93,241.88,266.05,0.473
R290,R600a,R290/R600a,0.3,30.0,100.0,2.225,0.448,OK,1128.2,116.636,20.955,1012.6,897.5,640.9,1161.5,520.4,241.88,275.53,0.465
R717,R600a,R717/R600a,0.5,20.0,100.0,2.169,0.494,OK,1128.2,117.631,19.735,953.6,845.2,613.3,924.3,523.07,241.88,267.03,0.462
R717,R600,R717/R600,0.5,20.0,100.0,2.223,0.507,OK,1128.2,117.65,21.765,1051.7,932.2,629.3,1081.1,510.4,241.88,253.93,0.474
R717,R600,R717/R600,0.4,20.0,100.0,2.197,0.501,OK,1128.2,118.049,21.136,1021.3,905.3,595.6,1331.5,516.55,241.88,260.28,0.468
R717,R600a,R717/R600a,0.4,20.0,100.0,2.126,0.484,OK,1128.2,118.581,18.883,912.4,808.8,575.1,1132.0,533.63,241.88,277.94,0.453
R717,R600,R717/R600,0.3,20.0,100.0,2.15,0.49,V_OUT,1128.2,121.338,22.236,1074.5,952.4,559.5,1653.3,527.63,241.88,271.75,0.458
R717,R600a,R717/R600a,0.3,20.0,100.0,2.063,0.469,OK,1128.2,122.625,19.811,957.3,848.5,534.1,1395.0,549.93,241.88,294.78,0.44
R1270,R600a,R1270/R600a,0.5,20.0,100.0,2.048,0.465,OK,1128.2,123.515,19.952,964.1,854.6,762.7,924.3,553.92,241.88,298.9,0.437
R1270,R600,R1270/R600,0.4,20.0,100.0,2.119,0.482,OK,1128.2,123.662,23.033,1113.0,986.5,706.0,1331.5,535.35,241.88,279.72,0.452
R1270,R600,R1270/R600,0.5,20.0,100.0,2.093,0.476,OK,1128.2,123.85,22.148,1070.2,948.6,781.7,1081.1,541.94,241.88,286.53,0.446
R1270,R600a,R1270/R600a,0.4,20.0,100.0,2.055,0.467,OK,1128.2,123.867,20.586,994.8,881.7,682.6,1132.0,551.86,241.88,296.77,0.438
R290,R600a,R290/R600a,0.5,20.0,100.0,2.05,0.466,OK,1128.2,124.642,21.021,1015.8,900.3,932.6,924.3,553.37,241.88,298.34,0.437
R290,R600,R290/R600,0.4,20.0,100.0,2.121,0.483,OK,1128.2,124.773,24.054,1162.3,1030.2,860.6,1331.5,535.02,241.88,279.38,0.452
R290,R600a,R290/R600a,0.4,20.0,100.0,2.057,0.468,OK,1128.2,124.911,21.55,1041.3,923.0,831.8,1132.0,551.52,241.88,296.42,0.439
R290,R600,R290/R600,0.5,20.0,100.0,2.095,0.477,OK,1128.2,125.043,23.273,1124.6,996.8,956.1,1081.1,541.41,241.88,285.98,0.447
R1270,R600,R1270/R600,0.3,20.0,100.0,2.108,0.48,V_OUT,1128.2,125.297,24.004,1159.9,1028.1,636.1,1653.3,538.2,241.88,282.66,0.449
R1270,R600a,R1270/R600a,0.3,20.0,100.0,2.025,0.46,OK,1128.2,126.282,21.385,1033.4,915.9,608.2,1395.0,560.07,241.88,305.24,0.432
R290,R600,R290/R600,0.3,20.0,100.0,2.109,0.48,V_OUT,1128.2,126.319,24.922,1204.3,1067.4,772.9,1653.3,538.02,241.88,282.48,0.45
R290,R600a,R290/R600a,0.3,20.0,100.0,2.026,0.46,OK,1128.2,127.237,22.246,1075.0,952.8,738.7,1395.0,559.88,241.88,305.05,0.432
