f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,100.0,2.108,0.48,V_OUT,5000,139.08,36.006
R1270,R600,R1270/R600,0.3,20.0,100.0,2.108,0.48,V_OUT,5500,135.321,32.733
R1270,R600,R1270/R600,0.3,20.0,100.0,2.108,0.48,V_OUT,6000,132.188,30.005
R1270,R600,R1270/R600,0.3,20.0,100.0,2.108,0.48,V_OUT,6500,129.538,27.697
R1270,R600,R1270/R600,0.3,20.0,100.0,2.108,0.48,V_OUT,7000,127.266,25.719
R1270,R600,R1270/R600,0.3,20.0,100.0,2.108,0.48,V_OUT,7500,125.297,24.004
R1270,R600,R1270/R600,0.3,30.0,100.0,2.305,0.465,OK,5000,128.386,33.958
R1270,R600,R1270/R600,0.3,30.0,100.0,2.305,0.465,OK,5500,124.841,30.871
R1270,R600,R1270/R600,0.3,30.0,100.0,2.305,0.465,OK,6000,121.887,28.298
R1270,R600,R1270/R600,0.3,30.0,100.0,2.305,0.465,OK,6500,119.387,26.122
R1270,R600,R1270/R600,0.3,30.0,100.0,2.305,0.465,OK,7000,117.244,24.256
R1270,R600,R1270/R600,0.3,30.0,100.0,2.305,0.465,OK,7500,115.387,22.639
R1270,R600,R1270/R600,0.3,40.0,100.0,2.532,0.445,OK,5000,118.197,32.061
R1270,R600,R1270/R600,0.3,40.0,100.0,2.532,0.445,OK,5500,114.85,29.146
R1270,R600,R1270/R600,0.3,40.0,100.0,2.532,0.445,OK,6000,112.06,26.717
R1270,R600,R1270/R600,0.3,40.0,100.0,2.532,0.445,OK,6500,109.7,24.662
R1270,R600,R1270/R600,0.3,40.0,100.0,2.532,0.445,OK,7000,107.677,22.901
R1270,R600,R1270/R600,0.3,40.0,100.0,2.532,0.445,OK,7500,105.924,21.374
R1270,R600,R1270/R600,0.3,50.0,100.0,2.792,0.419,OK,5000,108.723,30.425
R1270,R600,R1270/R600,0.3,50.0,100.0,2.792,0.419,OK,5500,105.546,27.659
R1270,R600,R1270/R600,0.3,50.0,100.0,2.792,0.419,OK,6000,102.899,25.354
R1270,R600,R1270/R600,0.3,50.0,100.0,2.792,0.419,OK,6500,100.66,23.404
R1270,R600,R1270/R600,0.3,50.0,100.0,2.792,0.419,OK,7000,98.74,21.732
R1270,R600,R1270/R600,0.3,50.0,100.0,2.792,0.419,OK,7500,97.076,20.284
R1270,R600,R1270/R600,0.4,20.0,100.0,2.119,0.482,OK,5000,136.888,34.55
R1270,R600,R1270/R600,0.4,20.0,100.0,2.119,0.482,OK,5500,133.281,31.409
R1270,R600,R1270/R600,0.4,20.0,100.0,2.119,0.482,OK,6000,130.275,28.792
R1270,R600,R1270/R600,0.4,20.0,100.0,2.119,0.482,OK,6500,127.732,26.577
R1270,R600,R1270/R600,0.4,20.0,100.0,2.119,0.482,OK,7000,125.552,24.679
R1270,R600,R1270/R600,0.4,20.0,100.0,2.119,0.482,OK,7500,123.662,23.033
R1270,R600,R1270/R600,0.4,30.0,100.0,2.3,0.464,OK,5000,127.092,32.684
R1270,R600,R1270/R600,0.4,30.0,100.0,2.3,0.464,OK,5500,123.68,29.713
R1270,R600,R1270/R600,0.4,30.0,100.0,2.3,0.464,OK,6000,120.836,27.237
R1270,R600,R1270/R600,0.4,30.0,100.0,2.3,0.464,OK,6500,118.43,25.142
R1270,R600,R1270/R600,0.4,30.0,100.0,2.3,0.464,OK,7000,116.368,23.346
R1270,R600,R1270/R600,0.4,30.0,100.0,2.3,0.464,OK,7500,114.58,21.79
R1270,R600,R1270/R600,0.4,40.0,100.0,2.508,0.441,OK,5000,117.835,31.08
R1270,R600,R1270/R600,0.4,40.0,100.0,2.508,0.441,OK,5500,114.59,28.255
R1270,R600,R1270/R600,0.4,40.0,100.0,2.508,0.441,OK,6000,111.886,25.9
R1270,R600,R1270/R600,0.4,40.0,100.0,2.508,0.441,OK,6500,109.598,23.908
R1270,R600,R1270/R600,0.4,40.0,100.0,2.508,0.441,OK,7000,107.637,22.2
R1270,R600,R1270/R600,0.4,40.0,100.0,2.508,0.441,OK,7500,105.937,20.72
R1270,R600,R1270/R600,0.4,50.0,100.0,2.745,0.411,OK,5000,109.15,29.698
R1270,R600,R1270/R600,0.4,50.0,100.0,2.745,0.411,OK,5500,106.05,26.998
R1270,R600,R1270/R600,0.4,50.0,100.0,2.745,0.411,OK,6000,103.466,24.748
R1270,R600,R1270/R600,0.4,50.0,100.0,2.745,0.411,OK,6500,101.28,22.844
R1270,R600,R1270/R600,0.4,50.0,100.0,2.745,0.411,OK,7000,99.406,21.213
R1270,R600,R1270/R600,0.4,50.0,100.0,2.745,0.411,OK,7500,97.782,19.799
R1270,R600,R1270/R600,0.5,20.0,100.0,2.093,0.476,OK,5000,136.568,33.222
R1270,R600,R1270/R600,0.5,20.0,100.0,2.093,0.476,OK,5500,133.099,30.202
R1270,R600,R1270/R600,0.5,20.0,100.0,2.093,0.476,OK,6000,130.209,27.685
R1270,R600,R1270/R600,0.5,20.0,100.0,2.093,0.476,OK,6500,127.763,25.556
R1270,R600,R1270/R600,0.5,20.0,100.0,2.093,0.476,OK,7000,125.667,23.73
R1270,R600,R1270/R600,0.5,20.0,100.0,2.093,0.476,OK,7500,123.85,22.148
R1270,R600,R1270/R600,0.5,30.0,100.0,2.259,0.455,OK,5000,127.507,31.616
R1270,R600,R1270/R600,0.5,30.0,100.0,2.259,0.455,OK,5500,124.206,28.741
R1270,R600,R1270/R600,0.5,30.0,100.0,2.259,0.455,OK,6000,121.455,26.346
R1270,R600,R1270/R600,0.5,30.0,100.0,2.259,0.455,OK,6500,119.128,24.32
