f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R1270,R600,R1270/R600,0.3,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.92,0.473,1000.0,1614.6,5.1,57.6,79.9,45.7,115.7,115.7,6.79,24.07,4.43,20.48,521.8,1494.1,159.88,334.75,520.95,R1270,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.3,30,110.0,V_ONLY,OK,"V_c1, V_c2",,,2.087,0.462,1000.0,1614.6,14.6,64.5,84.9,52.9,115.7,115.7,8.82,27.68,5.35,20.48,458.3,1238.1,162.43,292.59,479.25,R1270,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.3,40,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.276,0.447,1000.0,1614.6,24.0,71.5,90.4,60.0,115.7,116.0,11.27,31.68,6.39,20.48,408.0,1032.0,164.78,252.35,439.37,R1270,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.3,50,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.489,0.425,1000.0,1614.6,33.5,78.4,96.3,67.1,115.7,116.5,14.18,36.11,7.57,20.48,368.6,864.6,167.45,214.03,401.84,R1270,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.3,60,110.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.721,0.396,1000.0,1614.6,43.0,85.3,102.5,74.2,115.7,117.1,17.63,41.04,8.91,20.48,339.0,727.6,171.28,177.61,367.53,R1270,R600,0.4485,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.4,20,110.0,V_ONLY,OK,"V_c1, V_c2",,,1.942,0.479,1000.0,1614.6,5.0,66.5,90.9,55.0,115.7,115.7,6.77,28.78,5.63,20.48,595.7,1174.7,208.07,280.9,514.98,R1270,R600,0.4485,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.4,30,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.092,0.463,1000.0,1614.6,14.6,72.5,94.7,61.1,115.7,116.0,8.82,32.29,6.55,20.48,515.9,1005.9,207.06,246.76,477.98,R1270,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.4,40,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.26,0.443,1000.0,1614.6,24.1,78.4,99.0,67.1,115.7,116.5,11.28,36.11,7.57,20.48,454.0,864.6,206.02,214.03,442.44,R1270,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.4,50,110.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.446,0.418,1000.0,1614.6,33.6,84.3,103.7,73.2,115.7,117.0,14.22,40.3,8.71,20.48,406.3,745.6,205.5,182.7,408.91,R1270,R600,0.4485,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.4,60,110.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R1270,R600,R1270/R600,0.5,20,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.919,0.473,1000.0,1614.6,5.1,75.4,101.7,64.1,115.7,116.3,6.79,34.16,7.05,20.48,677.4,932.2,264.56,230.22,521.1,R1270,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
R1270,R600,R1270/R600,0.5,30,110.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.051,0.454,1000.0,1614.6,14.7,80.4,104.3,69.2,115.7,116.7,8.85,37.47,7.94,20.48,580.8,822.7,259.47,203.44,487.54,R1270,R600,0.4485,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.4485
