Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,215.7,180.9,34.82,0,83.85,6.381,12.86,44.44,58.72,7.175,4.636,11.81,39.25,32.13,57.23,90.18
COMP2,261,221.8,39.26,0,84.96,7.194,14.5,53.78,70.72,8.089,6.071,14.16,42.88,31.5,57.23,88.58
IHX,143.1,120.6,22.49,0,84.28,4.122,8.307,50.01,61.5,7.864,5.253,13.12,40.05,45.9,97.12,141.7
MOT1,227.1,215.7,11.35,0,95,2.08,4.192,41.3,44.44,2.065,0,2.065,0,7.611,50.52,57.23
MOT2,274.8,261,13.74,0,95,2.518,5.074,49.98,53.78,2.499,0,2.499,0,7.611,50.52,57.23
SNK_HX,273,261.9,11.16,0,95.91,2.046,4.122,106.4,113.3,4.352,3.773,8.125,46.44,10.99,108.3,120.2
SRC_HX,30.83,10.58,20.24,0,34.33,3.71,7.476,2.998e-13,7.892,1.968e-13,2.287,2.287,100,inf,2.701e-12,207.1
VAL1,48.41,,48.41,0,,8.87,17.88,16.6,,16.6,0,16.6,0,inf,95.23,
VAL2,69.31,,69.31,0,,12.7,25.59,25.79,,25.79,0,25.79,0,inf,103.4,
TOT,545.7,261.9,270.8,13.07,47.98,49.62,100,91.28,113.3,45.29,22.02,67.31,32.71,158.7,46.46,120.2
