Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
13,15,29.96,3,125.8,436,13.35,0.89,0.691,0.199,-3.735e-14,-1.206e-16,-3.747e-14,-1.001e-12,-1.122e-14,-7.796e-13
21,3.161,29.23,9.335,610.1,2385,362.4,114.6,5.097,109.5,9.953,96.73,106.7,171.6,77.6,81.78
22,3.161,92.9,30.44,679,2422,545.1,172.5,58.72,113.7,57.31,100.4,157.7,85.76,77.6,80.38
22c,3.161,72.96,30.14,410.9,1662,402,127.2,13.49,113.7,13.16,100.4,113.5,85.76,77.6,78.46
23,3.161,72.96,30.14,410.9,1662,402,127.2,13.49,113.7,13.16,100.4,113.5,85.76,77.6,78.46
24,3.161,24.96,9.51,410.9,1714,354.4,112.1,2.537,109.6,2.476,96.76,99.24,85.76,77.6,77.78
31,6.216,72.34,10.26,653.6,2381,581,93.47,48.75,44.72,115.5,76.4,191.9,105.8,76.35,91.73
32,6.216,118.3,26.27,696.6,2403,808.1,130,82.43,47.58,173,81.29,254.3,93.79,76.35,87.41
32c,6.216,115,26.02,517.3,1942,533.6,85.85,38.31,47.54,80.41,81.21,161.6,93.79,76.35,84.13
33,6.216,115,26.02,517.3,1942,533.6,85.85,38.31,47.54,80.41,81.21,161.6,93.79,76.35,84.13
34,6.216,68,10.41,517.3,1980,464.4,74.71,29.96,44.75,62.89,76.45,139.3,93.79,76.35,83.34
41,0.5,110,1.434,461.4,1419,24.19,48.39,48.34,0.04213,0,0,0,0,0,0
43,0.5,110,1.434,2691,7238,286.1,572.1,572.1,0.04213,100.2,-0,100.2,97.32,-0,97.31
