name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,323.1463,3.122,-27.1466,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,477.2222,2.7038,-12.9063,0.8,,,,,,,,,,,,,,,,
SNK_PUMP,Pump,0.023,1.1221,-0.175,0.8,,,,,,,,,,,,,,,,
SRC_PUMP,Pump,0.5693,1.05,-0.15,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-1752.4009,70.0326,149.2101,71.6311,4.9954,5.0,25.0226,0.9925,0.9806,0.977,0.5321,,,,,
SNK_HX,HeatExchanger,,,,,-2229.6231,389.1482,1052.7951,6.5267,5.0,2.0018,5.7295,0.9878,0.8912,0.9323,0.9939,,,,,
SRC_HX,HeatExchanger,,,,,-1429.2546,179.9256,149.2701,11.8635,5.0,4.9968,7.9436,0.9524,0.9865,0.6951,0.963,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT3,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT4,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.3271,26.6716,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.3818,12.5063,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
