f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,100.0,86.537,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,110.0,92.694,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,120.0,98.851,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,130.0,105.009,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,140.0,111.166,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,150.0,117.323,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,160.0,123.481,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,170.0,129.638,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,180.0,135.795,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,190.0,141.953,23.534
R1270,R600,R1270/R600,0.3,20.0,110.0,1.921,0.474,V_OUT,200.0,148.11,23.534
R1270,R600,R1270/R600,0.3,30.0,110.0,2.088,0.462,OK,100.0,80.29,22.293
R1270,R600,R1270/R600,0.3,30.0,110.0,2.088,0.462,OK,110.0,85.954,22.293
R1270,R600,R1270/R600,0.3,30.0,110.0,2.088,0.462,OK,120.0,91.619,22.293
R1270,R600,R1270/R600,0.3,30.0,110.0,2.088,0.462,OK,130.0,97.283,22.293
R1270,R600,R1270/R600,0.3,30.0,110.0,2.088,0.462,OK,140.0,102.947,22.293
R1270,R600,R1270/R600,0.3,30.0,110.0,2.088,0.462,OK,150.0,108.611,22.293
R1270,R600,R1270/R600,0.3,30.0,110.0,2.088,0.462,OK,160.0,114.275,22.293
