f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R290,R600a,0.3,20,120.0,,R290,R600a,1101.06,0.5,1800.0,516.5,1667.7,137.84,536.57,709.91,1.0,1.551,0.408,5.87,21.46,76.4,6.7,31.13,128.1,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,30,120.0,,R290,R600a,1101.06,0.5,1800.0,477.7,1388.6,147.76,470.02,650.29,1.0,1.693,0.404,7.61,24.67,82.0,7.95,31.13,128.4,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,40,120.0,,R290,R600a,1101.06,0.5,1800.0,443.0,1160.8,156.47,407.13,593.26,1.0,1.856,0.398,9.7,28.24,88.1,9.37,31.13,128.7,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,50,120.0,,R290,R600a,1101.06,0.5,1800.0,413.2,973.9,164.55,347.96,539.48,1.0,2.041,0.388,12.18,32.18,94.5,10.96,31.13,129.1,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.3,60,120.0,,R290,R600a,1101.06,0.5,1800.0,389.4,819.7,172.85,292.48,489.82,1.0,2.248,0.372,15.12,36.56,101.2,12.74,31.13,129.6,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,20,120.0,,R290,R600a,1101.06,0.5,1800.0,652.9,1285.4,199.15,442.61,675.54,1.0,1.63,0.43,5.78,26.15,87.7,8.54,31.13,128.5,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,30,120.0,,R290,R600a,1101.06,0.5,1800.0,583.0,1103.6,205.1,389.85,626.26,1.0,1.758,0.421,7.53,29.32,92.2,9.81,31.13,128.9,True,False,True,True,False,False,False,"p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,40,120.0,,R290,R600a,1101.06,0.5,1800.0,526.1,950.0,210.07,339.81,578.83,1.0,1.902,0.408,9.64,32.78,97.2,11.21,31.13,129.2,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,50,120.0,,R290,R600a,1101.06,0.5,1800.0,480.6,819.7,214.72,292.48,533.9,1.0,2.062,0.392,12.16,36.56,102.6,12.74,31.13,129.6,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
R290,R600a,0.4,60,120.0,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,False,no_solve,TESPy did not converge,NOSOLVE
R290,R600a,0.5,20,120.0,,R290,R600a,1101.06,0.5,1800.0,805.8,998.4,274.45,356.19,663.82,1.0,1.659,0.438,5.75,31.59,98.8,10.73,31.13,129.1,False,False,True,True,False,False,False,"p_c1, p_c2, V_c1, V_c2",ok,HARD
