f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R717,R600,R717/R600,0.5,30,120.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.079,0.502,1101.06,1800.0,15.0,85.0,196.9,75.0,125.0,126.4,7.28,46.1,9.06,24.17,432.9,890.1,247.53,255.61,529.61,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,40,120.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.066,0.473,1101.06,1800.0,15.0,82.0,189.7,72.0,125.0,126.2,7.28,43.24,8.47,24.17,422.7,957.5,231.7,274.5,532.84,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.3,50,120.0,HARD,OK,"T_c1, V_c1, V_c2",,,2.061,0.446,1101.06,1800.0,15.0,81.0,187.3,71.0,125.0,126.1,7.28,42.32,8.28,24.17,419.3,981.2,226.52,280.89,534.11,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.5,30,120.0,HARD,OK,"p_c2, T_c1, V_c1, V_c2",,,1.932,0.467,1101.06,1800.0,15.0,85.0,196.9,75.0,125.0,128.9,7.28,46.1,12.11,30.88,405.2,871.4,231.71,309.62,569.83,R717-HP,R600a,1.0,True,False,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,40,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.914,0.438,1101.06,1800.0,15.0,74.0,96.4,64.0,125.0,125.5,8.92,33.25,7.03,24.17,533.9,1167.1,219.56,326.93,575.25,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,30,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.913,0.462,1101.06,1800.0,15.0,76.0,98.9,66.0,125.0,125.7,8.92,34.53,7.37,24.17,552.0,1110.2,233.37,313.54,575.69,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.3,50,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.907,0.412,1101.06,1800.0,15.0,81.0,97.5,71.0,125.0,126.1,7.32,31.91,8.28,24.17,724.2,981.2,267.62,280.89,577.38,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.4,40,120.0,HARD,OK,"p_c2, T_c1, V_c1, V_c2",,,1.907,0.437,1101.06,1800.0,15.0,82.0,189.7,72.0,125.0,128.7,7.28,43.24,11.36,30.88,392.6,937.6,215.21,333.32,577.4,R717-HP,R600a,1.0,True,False,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.4,40,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.902,0.435,1101.06,1800.0,15.0,82.0,98.7,72.0,125.0,126.2,7.32,32.51,8.47,24.17,737.0,957.5,275.59,274.5,579.04,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.3,50,120.0,HARD,OK,"p_c2, T_c1, V_c1, V_c2",,,1.898,0.41,1101.06,1800.0,15.0,81.0,187.3,71.0,125.0,128.7,7.28,42.32,11.11,30.88,388.4,960.9,209.81,341.36,580.18,R717-HP,R600a,1.0,True,False,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,50,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.895,0.41,1101.06,1800.0,15.0,81.0,105.0,71.0,125.0,126.1,8.92,37.9,8.28,24.17,600.9,981.2,271.06,280.89,581.0,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,30,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.88,0.454,1101.06,1800.0,15.0,85.0,102.1,75.0,125.0,126.4,7.32,34.36,9.06,24.17,777.6,890.1,300.81,255.61,585.7,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600,R717/R600,0.4,20,120.0,HARD,OK,"T_c1, V_c1, V_c2",,,1.865,0.498,1101.06,1800.0,5.0,70.0,184.5,60.0,125.0,125.3,5.16,33.12,6.38,24.17,503.3,1291.0,206.58,354.26,590.36,R717-HP,R600,1.0,True,True,False,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.3,60,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.85,0.376,1101.06,1800.0,15.0,88.0,105.5,78.0,125.0,126.7,7.32,36.3,9.68,24.17,821.7,827.9,328.29,237.14,595.19,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.4,50,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.85,0.4,1101.06,1800.0,15.0,88.0,105.5,78.0,125.0,126.7,7.32,36.3,9.68,24.17,821.7,827.9,328.29,237.14,595.19,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.4,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.847,0.446,1101.06,1800.0,15.0,76.0,175.2,66.0,125.0,128.4,7.28,37.93,9.96,30.88,366.8,1087.3,183.58,382.66,596.04,R717-HP,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600,R290/R600,0.5,40,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.825,0.418,1101.06,1800.0,15.0,90.0,107.8,80.0,125.0,126.8,7.32,37.64,10.12,24.17,853.5,789.2,348.06,225.06,603.28,R290,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R717,R600a,R717/R600a,0.3,40,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.825,0.418,1101.06,1800.0,15.0,74.0,170.4,64.0,125.0,128.3,7.28,36.27,9.52,30.88,357.9,1142.9,173.46,399.68,603.31,R717-HP,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.781,0.476,1101.06,1800.0,5.0,70.0,95.2,60.0,125.0,125.3,6.76,30.8,6.38,24.17,637.3,1291.0,232.89,354.26,618.05,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.775,0.384,1101.06,1800.0,15.0,81.0,97.5,71.0,125.0,128.7,7.32,31.91,11.11,30.88,670.8,960.9,247.89,341.36,620.26,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.775,0.406,1101.06,1800.0,15.0,82.0,98.7,72.0,125.0,128.7,7.32,32.51,11.36,30.88,684.6,937.6,255.97,333.32,620.31,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,30,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.769,0.427,1101.06,1800.0,15.0,85.0,102.1,75.0,125.0,128.9,7.32,34.36,12.11,30.88,727.9,871.4,281.59,309.62,622.33,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
