f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600,R717/R600,0.5,60.0,120.0,2.731,0.457,OK,1101.1,88.864,16.261,803.5,729.8,244.7,623.2,563.18,280.06,198.23,0.497
R717,R600,R717/R600,0.4,60.0,120.0,2.712,0.453,OK,1101.1,89.69,16.577,819.1,744.0,233.3,717.6,566.02,280.06,200.82,0.495
R717,R600,R717/R600,0.3,60.0,120.0,2.669,0.446,OK,1101.1,92.506,18.239,901.3,818.6,221.7,827.9,572.49,280.06,206.75,0.489
R717,R600a,R717/R600a,0.5,60.0,120.0,2.57,0.428,OK,1101.1,93.544,16.379,809.3,735.1,234.1,608.2,588.47,280.06,221.37,0.476
R717,R600,R717/R600,0.5,50.0,120.0,2.478,0.475,OK,1101.1,97.056,17.037,841.9,764.6,290.8,700.8,537.44,280.06,216.74,0.521
R717,R600a,R717/R600a,0.4,60.0,120.0,2.512,0.418,OK,1101.1,97.331,18.401,909.3,825.8,220.3,701.4,598.35,280.06,230.41,0.468
R717,R600,R717/R600,0.4,50.0,120.0,2.448,0.469,OK,1101.1,98.46,17.475,863.5,784.2,274.8,827.9,542.82,280.06,221.8,0.516
R717,R600a,R717/R600a,0.3,60.0,120.0,2.431,0.404,OK,1101.1,100.48,18.92,934.9,849.1,206.2,810.2,612.95,280.06,243.75,0.457
R290,R600,R290/R600,0.3,60.0,120.0,2.48,0.413,OK,1101.1,100.485,20.56,1015.9,922.7,418.8,827.9,603.96,280.06,235.54,0.464
R717,R600,R717/R600,0.3,50.0,120.0,2.394,0.459,OK,1101.1,102.002,19.2,948.7,861.7,258.2,981.2,552.97,280.06,231.35,0.506
R717,R600a,R717/R600a,0.5,50.0,120.0,2.324,0.444,OK,1101.1,102.439,17.107,845.3,767.7,275.3,684.9,566.9,280.06,244.46,0.494
R717,R600,R717/R600,0.5,40.0,120.0,2.266,0.49,OK,1101.1,105.492,17.975,888.2,806.7,350.3,789.2,529.83,280.06,236.74,0.529
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,1101.1,105.787,17.745,876.8,796.4,385.5,981.2,581.95,280.06,258.61,0.481
R290,R600,R290/R600,0.4,50.0,120.0,2.244,0.429,OK,1101.1,106.246,17.889,884.0,802.8,515.5,827.9,583.7,280.06,260.25,0.48
R717,R600a,R717/R600a,0.4,50.0,120.0,2.256,0.431,OK,1101.1,106.94,19.038,940.8,854.4,255.6,810.2,581.23,280.06,257.93,0.482
R717,R600,R717/R600,0.4,40.0,120.0,2.228,0.482,OK,1101.1,107.588,18.57,917.6,833.4,327.6,957.5,538.18,280.06,244.83,0.52
R290,R600,R290/R600,0.3,50.0,120.0,2.274,0.434,OK,1101.1,108.624,21.433,1059.1,961.9,453.6,981.2,577.39,280.06,254.32,0.485
R290,R600a,R290/R600a,0.3,60.0,120.0,2.283,0.378,OK,1101.1,108.766,21.955,1084.9,985.3,389.8,810.2,642.19,280.06,270.45,0.436
R717,R600a,R717/R600a,0.3,50.0,120.0,2.164,0.412,OK,1101.1,111.385,19.752,976.0,886.5,235.0,960.9,601.94,280.06,277.38,0.465
R717,R600a,R717/R600a,0.5,40.0,120.0,2.119,0.457,OK,1101.1,111.586,17.98,888.5,806.9,327.5,772.1,563.58,280.06,269.42,0.497
R717,R600,R717/R600,0.3,40.0,120.0,2.164,0.468,OK,1101.1,112.061,20.456,1010.8,918.0,303.8,1167.1,552.6,280.06,258.8,0.507
R717,R600,R717/R600,0.5,30.0,120.0,2.086,0.503,OK,1101.1,114.207,19.128,945.2,858.4,428.0,890.1,541.34,280.06,258.27,0.517
R290,R600,R290/R600,0.5,40.0,120.0,2.022,0.435,OK,1101.1,116.748,18.684,923.3,838.5,661.8,789.2,588.32,280.06,293.36,0.476
R717,R600a,R717/R600a,0.4,40.0,120.0,2.042,0.44,OK,1101.1,116.981,19.879,982.3,892.2,299.2,937.6,583.05,280.06,288.25,0.48
R290,R600,R290/R600,0.4,40.0,120.0,2.084,0.449,OK,1101.1,117.039,21.9,1082.2,982.9,573.3,957.5,572.25,280.06,277.82,0.489
R290,R600a,R290/R600a,0.4,50.0,120.0,2.092,0.398,OK,1101.1,117.045,22.293,1101.6,1000.5,480.1,810.2,619.35,280.06,293.72,0.452
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,1101.1,117.092,21.516,1063.2,965.6,419.5,1167.1,574.67,280.06,280.15,0.487
R717,R600,R717/R600,0.4,30.0,120.0,2.04,0.491,OK,1101.1,117.113,19.927,984.7,894.3,395.6,1110.2,553.05,280.06,269.97,0.506
R290,R600,R290/R600,0.3,40.0,120.0,2.086,0.45,OK,1101.1,117.682,22.638,1118.6,1016.0,498.7,1167.1,571.76,280.06,277.34,0.49
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.057,0.391,OK,1101.1,117.933,21.54,1064.4,966.7,351.7,960.9,628.41,280.06,302.22,0.446
R290,R600a,R290/R600a,0.3,50.0,120.0,2.073,0.394,OK,1101.1,118.439,22.822,1127.8,1024.2,413.4,960.9,624.16,280.06,298.24,0.449
R717,R600a,R717/R600a,0.5,30.0,120.0,1.945,0.468,OK,1101.1,121.008,19.044,941.0,854.7,394.6,871.4,579.5,280.06,296.34,0.483
R290,R600a,R290/R600a,0.5,40.0,120.0,1.916,0.411,OK,1101.1,122.191,18.667,922.4,837.8,620.0,772.1,618.59,280.06,322.59,0.453
R717,R600,R717/R600,0.3,30.0,120.0,1.97,0.474,OK,1101.1,122.759,22.119,1093.0,992.7,361.3,1393.7,572.3,280.06,289.17,0.489
R717,R600a,R717/R600a,0.3,40.0,120.0,1.942,0.417,OK,1101.1,122.967,20.859,1030.8,936.2,269.3,1142.9,610.84,280.06,315.1,0.458
R1270,R600,R1270/R600,0.4,30.0,120.0,1.929,0.463,OK,1101.1,124.577,21.758,1075.2,976.5,538.2,1110.2,584.36,280.06,301.19,0.479
R290,R600,R290/R600,0.4,30.0,120.0,1.938,0.466,OK,1101.1,125.397,23.08,1140.5,1035.8,647.5,1110.2,581.63,280.06,298.47,0.482
R290,R600a,R290/R600a,0.4,40.0,120.0,1.93,0.415,OK,1101.1,125.834,23.119,1142.4,1037.6,524.6,937.6,614.3,280.06,318.45,0.456
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,1101.1,126.669,23.003,1136.7,1032.4,462.9,1393.7,589.11,280.06,305.92,0.475
R290,R600,R290/R600,0.5,30.0,120.0,1.9,0.456,OK,1101.1,127.018,22.664,1119.9,1017.1,754.9,890.1,592.91,280.06,309.7,0.472
R717,R600,R717/R600,0.4,20.0,120.0,1.88,0.499,OK,1101.1,127.103,21.643,1069.5,971.3,484.5,1291.0,588.54,280.06,297.27,0.476
R717,R600a,R717/R600a,0.4,30.0,120.0,1.862,0.447,OK,1101.1,127.472,20.97,1036.2,941.1,353.5,1087.3,604.74,280.06,321.49,0.463
R290,R600,R290/R600,0.3,30.0,120.0,1.919,0.461,OK,1101.1,127.556,24.232,1197.4,1087.5,555.1,1393.7,587.27,280.06,304.09,0.477
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.877,0.403,OK,1101.1,128.206,22.565,1115.0,1012.7,372.9,1142.9,630.5,280.06,334.08,0.444
R290,R600a,R290/R600a,0.3,40.0,120.0,1.886,0.405,OK,1101.1,129.173,24.025,1187.2,1078.2,442.8,1142.9,627.83,280.06,331.51,0.446
R1270,R600,R1270/R600,0.5,20.0,120.0,1.782,0.472,OK,1101.1,131.469,20.144,995.4,904.0,718.1,1005.6,620.98,280.06,330.62,0.451
R717,R600,R717/R600,0.3,20.0,120.0,1.805,0.478,V_OUT,1101.1,132.838,22.959,1134.5,1030.4,434.4,1671.9,613.09,280.06,322.52,0.457
R1270,R600,R1270/R600,0.4,20.0,120.0,1.802,0.477,OK,1101.1,133.171,23.139,1143.4,1038.5,610.8,1291.0,613.94,280.06,323.39,0.456
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,OK,1101.1,134.188,22.599,1116.7,1014.2,482.6,1087.3,633.01,280.06,349.61,0.442
R290,R600a,R290/R600a,0.5,30.0,120.0,1.793,0.429,OK,1101.1,134.265,23.694,1170.8,1063.4,697.7,871.4,627.42,280.06,344.05,0.446
R290,R600,R290/R600,0.4,20.0,120.0,1.807,0.479,OK,1101.1,134.354,24.611,1216.1,1104.5,741.7,1291.0,612.41,280.06,321.82,0.457
R290,R600,R290/R600,0.5,20.0,120.0,1.788,0.474,OK,1101.1,134.892,24.004,1186.2,1077.3,875.4,1005.6,618.73,280.06,328.31,0.453
R717,R600a,R717/R600a,0.3,30.0,120.0,1.756,0.42,OK,1101.1,135.276,22.331,1103.5,1002.2,309.7,1363.5,640.52,280.06,357.07,0.437
R290,R600a,R290/R600a,0.4,30.0,120.0,1.784,0.427,OK,1101.1,135.324,24.209,1196.2,1086.5,580.0,1087.3,630.46,280.06,347.07,0.444
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,1101.1,137.22,25.084,1239.5,1125.8,516.6,1671.9,625.69,280.06,335.46,0.448
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.677,0.443,OK,1101.1,138.269,19.95,985.8,895.3,653.9,984.8,659.74,280.06,370.4,0.425
R290,R600,R290/R600,0.3,20.0,120.0,1.771,0.469,V_OUT,1101.1,138.329,26.413,1305.2,1185.4,624.6,1671.9,624.54,280.06,334.28,0.448
R717,R600a,R717/R600a,0.4,20.0,120.0,1.709,0.452,OK,1101.1,138.448,22.382,1106.0,1004.5,421.6,1263.7,647.36,280.06,357.71,0.433
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.716,0.41,OK,1101.1,139.535,23.98,1185.0,1076.2,398.3,1363.5,655.06,280.06,371.51,0.428
R290,R600a,R290/R600a,0.3,30.0,120.0,1.721,0.411,OK,1101.1,140.857,25.616,1265.8,1149.6,477.2,1363.5,653.39,280.06,369.86,0.429
R290,R600a,R290/R600a,0.5,20.0,120.0,1.682,0.444,OK,1101.1,142.757,24.868,1228.8,1116.0,796.4,984.8,657.58,280.06,368.19,0.426
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,OK,1101.1,143.928,23.828,1177.4,1069.4,533.9,1263.7,669.79,280.06,380.7,0.418
R290,R600a,R290/R600a,0.4,20.0,120.0,1.655,0.437,OK,1101.1,145.424,25.596,1264.8,1148.7,647.6,1263.7,668.36,280.06,379.23,0.419
R717,R600a,R717/R600a,0.3,20.0,120.0,1.598,0.421,V_OUT,1101.1,147.15,23.05,1139.0,1034.5,357.0,1632.4,691.93,280.06,403.37,0.405
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.574,0.414,V_OUT,1101.1,151.883,25.912,1280.4,1162.9,426.8,1632.4,702.42,280.06,414.12,0.399
R290,R600a,R290/R600a,0.3,20.0,120.0,1.577,0.415,V_OUT,1101.1,153.169,27.395,1353.7,1229.4,515.3,1632.4,701.4,280.06,413.07,0.399
