f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,5000,134.886,36.983
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,5500,131.551,33.621
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,6000,128.772,30.819
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,6500,126.421,28.449
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,7000,124.405,26.417
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,7500,122.658,24.656
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,5000,124.424,33.915
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,5500,121.366,30.831
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,6000,118.817,28.262
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,6500,116.661,26.088
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,7000,114.813,24.225
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,OK,7500,113.211,22.61
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,5000,115.166,31.722
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,5500,112.306,28.838
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,6000,109.923,26.435
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,6500,107.906,24.401
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,7000,106.177,22.658
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,OK,7500,104.679,21.148
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,5000,106.98,30.135
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,5500,104.263,27.396
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,6000,101.998,25.113
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,6500,100.082,23.181
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,7000,98.44,21.525
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,OK,7500,97.017,20.09
R1270,R600,R1270/R600,0.4,20.0,120.0,1.802,0.477,OK,5000,130.188,34.115
R1270,R600,R1270/R600,0.4,20.0,120.0,1.802,0.477,OK,5500,127.112,31.014
R1270,R600,R1270/R600,0.4,20.0,120.0,1.802,0.477,OK,6000,124.549,28.429
R1270,R600,R1270/R600,0.4,20.0,120.0,1.802,0.477,OK,6500,122.379,26.242
R1270,R600,R1270/R600,0.4,20.0,120.0,1.802,0.477,OK,7000,120.52,24.368
R1270,R600,R1270/R600,0.4,20.0,120.0,1.802,0.477,OK,7500,118.909,22.743
R1270,R600,R1270/R600,0.4,30.0,120.0,1.929,0.463,OK,5000,121.854,32.079
R1270,R600,R1270/R600,0.4,30.0,120.0,1.929,0.463,OK,5500,118.961,29.163
R1270,R600,R1270/R600,0.4,30.0,120.0,1.929,0.463,OK,6000,116.551,26.733
R1270,R600,R1270/R600,0.4,30.0,120.0,1.929,0.463,OK,6500,114.511,24.677
R1270,R600,R1270/R600,0.4,30.0,120.0,1.929,0.463,OK,7000,112.763,22.914
R1270,R600,R1270/R600,0.4,30.0,120.0,1.929,0.463,OK,7500,111.248,21.386
R1270,R600,R1270/R600,0.5,20.0,120.0,1.782,0.472,OK,5000,130.096,32.903
R1270,R600,R1270/R600,0.5,20.0,120.0,1.782,0.472,OK,5500,127.129,29.912
R1270,R600,R1270/R600,0.5,20.0,120.0,1.782,0.472,OK,6000,124.656,27.42
R1270,R600,R1270/R600,0.5,20.0,120.0,1.782,0.472,OK,6500,122.564,25.31
R1270,R600,R1270/R600,0.5,20.0,120.0,1.782,0.472,OK,7000,120.771,23.502
R1270,R600,R1270/R600,0.5,20.0,120.0,1.782,0.472,OK,7500,119.217,21.936
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.574,0.414,V_OUT,5000,148.196,38.203
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.574,0.414,V_OUT,5500,144.752,34.73
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.574,0.414,V_OUT,6000,141.881,31.836
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.574,0.414,V_OUT,6500,139.452,29.387
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.574,0.414,V_OUT,7000,137.37,27.288
R1270,R600a,R1270/R600a,0.3,20.0,120.0,1.574,0.414,V_OUT,7500,135.566,25.469
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.716,0.41,OK,5000,136.252,35.355
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.716,0.41,OK,5500,133.065,32.141
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.716,0.41,OK,6000,130.408,29.463
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.716,0.41,OK,6500,128.16,27.196
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.716,0.41,OK,7000,126.233,25.254
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.716,0.41,OK,7500,124.563,23.57
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.877,0.403,OK,5000,125.507,33.269
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.877,0.403,OK,5500,122.507,30.245
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.877,0.403,OK,6000,120.007,27.724
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.877,0.403,OK,6500,117.892,25.592
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.877,0.403,OK,7000,116.079,23.764
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.877,0.403,OK,7500,114.507,22.18
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.057,0.391,OK,5000,115.916,31.758
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.057,0.391,OK,5500,113.052,28.871
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.057,0.391,OK,6000,110.666,26.465
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.057,0.391,OK,6500,108.647,24.429
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.057,0.391,OK,7000,106.916,22.684
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.057,0.391,OK,7500,105.416,21.172
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,OK,5000,140.002,35.131
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,OK,5500,136.834,31.937
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,OK,6000,134.195,29.276
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,OK,6500,131.961,27.024
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,OK,7000,130.046,25.093
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.651,0.436,OK,7500,128.387,23.421
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.777,0.425,OK,5000,130.756,33.319
