f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,100.0,96.282,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,110.0,103.425,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,120.0,110.567,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,130.0,117.71,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,140.0,124.852,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,150.0,131.995,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,160.0,139.137,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,170.0,146.28,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,180.0,153.423,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,190.0,160.565,25.061
R1270,R600,R1270/R600,0.3,20.0,120.0,1.749,0.467,V_OUT,200.0,167.708,25.061
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,100.0,88.606,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,110.0,95.188,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,120.0,101.771,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,130.0,108.354,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,140.0,114.936,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,150.0,121.519,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,160.0,128.101,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,170.0,134.684,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,180.0,141.266,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,190.0,147.849,22.967
R1270,R600,R1270/R600,0.3,30.0,120.0,1.898,0.459,OK,200.0,154.432,22.967
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,100.0,86.562,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,110.0,93.089,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,120.0,99.616,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,130.0,106.143,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,140.0,112.67,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,150.0,119.197,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,160.0,125.723,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,170.0,132.25,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,180.0,138.777,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,190.0,145.304,21.468
R1270,R600,R1270/R600,0.3,40.0,120.0,1.914,0.438,OK,200.0,151.831,21.468
R1270,R600,R1270/R600,0.3,50.0,120.0,1.895,0.41,OK,100.0,84.084,18.312
