name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,207.8358,4.5553,-24.0405,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,434.6004,3.5529,-22.1887,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-666.4567,47.6096,60.832,30.1528,5.0,5.0,13.9984,1.0,1.0,0.9473,0.5757,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,172.0139,214.8068,8.042,5.0,5.0,6.401,1.0,1.0,0.8592,0.9922,,,,,
SRC_HX,HeatExchanger,,,,,-458.6208,63.5783,50.6614,10.0,5.0,5.0,7.2135,1.0,1.0,0.6661,0.9246,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2195,24.0405,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2815,22.1887,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
