Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-1.589e-10,0.199,0,-0,0,-0,-0,0
13,15,11.87,3,50.16,178.7,10.2,0.6801,0.481,0.199,27.71,-9.335e-18,27.71,1067,-8.686e-16,754.5
21,2.132,11.87,5.82,591.4,2397,196.5,92.17,0.2077,91.96,0.4139,58.03,58.44,259.7,82.22,82.62
22,2.132,75.76,21.17,668.6,2442,333.3,156.3,44.43,111.9,28.04,70.61,98.65,82.22,82.22,82.22
22c,2.132,55,21.17,351.9,1494,250.7,117.6,5.694,111.9,3.593,70.61,74.2,82.22,82.22,82.22
23,2.132,55,21.17,351.9,1494,250.7,117.6,5.694,111.9,3.593,70.61,74.2,82.22,82.22,82.22
24,2.132,6.871,5.82,351.9,1542,220.3,103.3,11.35,91.96,22.63,58.03,80.66,259.7,82.22,101.7
31,5.552,55,4.958,666.3,2472,359.7,64.78,35.62,29.16,75.28,44.92,120.2,105.7,77.07,92.83
32,5.552,125,24.17,742.9,2511,722.7,130.2,97.7,32.47,170.9,50.02,220.9,87.52,77.07,84.91
32c,5.552,125,24.17,544.6,2013,432.4,77.87,45.4,32.47,79.43,50.02,129.4,87.52,77.07,83.17
33,5.552,125,24.17,544.6,2013,432.4,77.87,45.4,32.47,79.43,50.02,129.4,87.52,77.07,83.17
34,5.552,50,4.958,544.6,2096,296.6,53.42,24.26,29.16,42.44,44.92,87.36,87.52,77.07,81.82
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
43,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,97.08,-0,124.8,87.16,-0,112
