label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
13,water (source),SRC_HX,source outlet,15.0,31.43,3.0,131.962,0.4563,0.015071,66.353,813.83,907.23,199.02,1106.25
21,R290,SRC_HX,COMP1,2.50588,30.72,9.6958,611.61,2.3837,0.123049,8.127,1110.05,6822.31,109611.65,116433.96
22,R290,COMP1,IHX,2.50588,88.08,28.2358,674.051,2.4184,0.041279,24.226,372.38,55382.38,113297.74,168680.12
22c,R290,IHX,cc1,2.50588,68.97,27.9358,397.132,1.624,0.006123,163.329,55.23,11421.61,113238.38,124659.99
23,R290,cc1,VAL1,2.50588,68.97,27.9358,397.132,1.624,0.006123,163.329,55.23,11421.61,113238.38,124659.99
24,R290,VAL1,SRC_HX,2.50588,26.43,9.8708,397.132,1.6652,0.048191,20.751,434.74,2936.58,109646.62,112583.2
31,R600a,IHX,COMP2,7.59094,68.3,9.3721,648.421,2.3768,0.322446,3.101,8811.6,45075.93,44562.02,89637.96
32,R600a,COMP2,SNK_HX,7.59094,128.75,31.1303,702.055,2.4035,0.074548,13.414,2037.2,86979.8,48446.08,135425.88
32c,R600a,SNK_HX,cc2,7.59094,125.0,30.8803,557.006,2.04,0.021652,46.185,591.69,48542.55,48401.61,96944.15
33,R600a,cc2,VAL2,7.59094,125.0,30.8803,557.006,2.04,0.021652,46.185,591.69,48542.55,48401.61,96944.15
34,R600a,VAL2,IHX,7.59094,64.0,9.5221,557.006,2.104,0.222412,4.496,6077.93,33602.47,44588.9,78191.37
41,water (sink),sink inlet,SNK_HX,0.5,120.0,1.9867,503.812,1.5279,0.00053,1886.213,0.95,58708.67,97.52,58806.2
43,water (sink),SNK_HX,sink outlet,0.5,120.0,1.9867,2705.926,7.1291,0.445606,2.244,802.09,618829.26,97.52,618926.78
