f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,Q_H_native_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_1MW_total [kEUR],PEC_1MW [EUR/kW],PEC_native_total [kEUR],PEC_native [EUR/kW],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600,R717/R600,0.5,60.0,120.0,2.688,0.449,2202.1,80.749,32.566,956.9,956.9,1573.7,714.6,1139.23,560.12,408.24,0.492
R717,R600,R717/R600,0.4,60.0,120.0,2.666,0.445,2202.1,81.665,33.354,977.4,977.4,1611.7,731.9,1145.89,560.12,414.33,0.489
R717,R600,R717/R600,0.3,60.0,120.0,2.622,0.437,2202.1,83.225,34.262,1001.0,1001.0,1655.6,751.8,1159.97,560.12,427.22,0.483
R717,R600a,R717/R600a,0.5,60.0,120.0,2.533,0.422,2202.1,83.45,30.046,891.4,891.4,1451.9,659.3,1189.34,560.12,454.08,0.471
R717,R600a,R717/R600a,0.4,60.0,120.0,2.474,0.412,2202.1,85.353,30.596,905.6,905.6,1478.4,671.4,1210.01,560.12,472.98,0.463
R717,R600,R717/R600,0.5,50.0,120.0,2.44,0.468,2202.1,87.887,33.725,989.4,989.4,1629.6,740.0,1088.72,560.12,446.5,0.514
R717,R600a,R717/R600a,0.3,60.0,120.0,2.393,0.397,2202.1,88.062,31.243,922.4,922.4,1509.7,685.6,1240.3,560.12,500.65,0.452
R717,R600,R717/R600,0.4,50.0,120.0,2.408,0.461,2202.1,89.334,34.735,1015.7,1015.7,1678.5,762.2,1100.72,560.12,457.79,0.509
R290,R600,R290/R600,0.3,60.0,120.0,2.435,0.405,2202.1,89.813,37.29,1070.0,1070.0,1801.9,818.3,1224.47,560.12,486.2,0.457
R717,R600a,R717/R600a,0.5,50.0,120.0,2.292,0.438,2202.1,91.143,31.009,918.7,918.7,1498.4,680.4,1147.09,560.12,501.41,0.488
R717,R600,R717/R600,0.3,50.0,120.0,2.352,0.45,2202.1,91.64,35.917,1046.6,1046.6,1735.6,788.1,1122.53,560.12,478.31,0.499
R717,R600a,R717/R600a,0.4,50.0,120.0,2.223,0.424,2202.1,93.844,31.715,937.0,937.0,1532.5,695.9,1176.91,560.12,529.44,0.476
R290,R600a,R290/R600a,0.3,60.0,120.0,2.246,0.372,2202.1,94.061,33.806,979.8,979.8,1633.5,741.8,1300.26,560.12,555.38,0.431
R717,R600,R717/R600,0.5,40.0,120.0,2.231,0.483,2202.1,95.213,35.08,1027.4,1027.4,1695.1,769.8,1074.67,560.12,488.02,0.521
R290,R600,R290/R600,0.3,50.0,120.0,2.231,0.426,2202.1,97.062,38.804,1111.1,1111.1,1875.1,851.5,1173.13,560.12,525.88,0.477
R1270,R600,R1270/R600,0.3,50.0,120.0,2.214,0.422,2202.1,97.115,37.668,1081.0,1081.0,1820.2,826.6,1180.95,560.12,533.23,0.474
R717,R600,R717/R600,0.4,40.0,120.0,2.191,0.474,2202.1,97.279,36.344,1060.3,1060.3,1756.2,797.5,1092.91,560.12,505.69,0.513
R290,R600,R290/R600,0.4,50.0,120.0,2.207,0.421,2202.1,97.472,37.893,1086.7,1086.7,1831.0,831.5,1184.06,560.12,536.15,0.473
R717,R600a,R717/R600a,0.3,50.0,120.0,2.131,0.406,2202.1,97.642,32.558,958.9,958.9,1573.3,714.4,1219.77,560.12,569.68,0.459
R717,R600a,R717/R600a,0.5,40.0,120.0,2.09,0.451,2202.1,99.027,32.139,950.6,950.6,1553.0,705.2,1141.54,560.12,552.76,0.491
R717,R600,R717/R600,0.3,40.0,120.0,2.126,0.459,2202.1,100.453,37.846,1099.7,1099.7,1828.8,830.5,1123.73,560.12,535.53,0.498
R290,R600a,R290/R600a,0.4,50.0,120.0,2.061,0.392,2202.1,101.301,34.389,996.0,996.0,1661.7,754.6,1254.66,560.12,602.41,0.446
R290,R600a,R290/R600a,0.3,50.0,120.0,2.04,0.388,2202.1,102.463,34.954,1011.3,1011.3,1689.0,767.0,1265.84,560.12,612.9,0.442
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.026,0.385,2202.1,102.539,33.947,984.6,984.6,1640.4,744.9,1273.14,560.12,619.74,0.44
R717,R600a,R717/R600a,0.4,40.0,120.0,2.013,0.433,2202.1,102.647,33.018,973.4,973.4,1595.5,724.5,1181.91,560.12,591.8,0.474
R717,R600,R717/R600,0.5,30.0,120.0,2.054,0.495,2202.1,102.737,36.67,1071.9,1071.9,1772.0,804.7,1099.16,560.12,533.0,0.51
R290,R600,R290/R600,0.4,40.0,120.0,2.048,0.441,2202.1,104.29,39.363,1126.8,1126.8,1902.1,863.8,1162.84,560.12,573.36,0.482
R1270,R600,R1270/R600,0.3,40.0,120.0,2.038,0.439,2202.1,104.712,39.344,1126.5,1126.5,1901.2,863.3,1168.31,560.12,578.66,0.479
R290,R600,R290/R600,0.3,40.0,120.0,2.046,0.441,2202.1,104.959,40.55,1158.6,1158.6,1959.5,889.8,1163.86,560.12,574.35,0.481
R717,R600,R717/R600,0.4,30.0,120.0,2.006,0.483,2202.1,105.501,38.219,1112.3,1112.3,1846.8,838.7,1124.48,560.12,558.27,0.498
R290,R600,R290/R600,0.5,40.0,120.0,1.992,0.429,2202.1,106.239,38.468,1102.9,1102.9,1858.9,844.1,1193.19,560.12,602.7,0.469
R717,R600a,R717/R600a,0.5,30.0,120.0,1.919,0.461,2202.1,107.104,33.463,987.9,987.9,1617.0,734.3,1174.72,560.12,608.35,0.477
R717,R600a,R717/R600a,0.3,40.0,120.0,1.912,0.411,2202.1,107.706,34.088,1001.3,1001.3,1647.2,748.0,1239.34,560.12,647.27,0.452
R290,R600a,R290/R600a,0.4,40.0,120.0,1.901,0.408,2202.1,108.953,35.531,1027.4,1027.4,1716.9,779.7,1246.08,560.12,653.77,0.45
R290,R600a,R290/R600a,0.5,40.0,120.0,1.89,0.406,2202.1,109.252,35.032,1013.9,1013.9,1692.8,768.7,1253.01,560.12,660.46,0.447
R717,R600,R717/R600,0.3,30.0,120.0,1.934,0.465,2202.1,109.663,40.09,1161.5,1161.5,1937.2,879.7,1165.5,560.12,599.16,0.481
R1270,R600,R1270/R600,0.4,30.0,120.0,1.898,0.456,2202.1,111.137,39.601,1134.1,1134.1,1913.6,869.0,1187.26,560.12,620.84,0.472
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.849,0.396,2202.1,111.404,35.225,1019.7,1019.7,1702.1,772.9,1279.08,560.12,685.61,0.438
R290,R600,R290/R600,0.4,30.0,120.0,1.904,0.457,2202.1,111.56,41.057,1172.9,1172.9,1984.0,900.9,1183.46,560.12,617.06,0.473
R290,R600a,R290/R600a,0.3,40.0,120.0,1.855,0.398,2202.1,111.601,36.278,1047.7,1047.7,1753.0,796.1,1274.97,560.12,681.64,0.439
R717,R600a,R717/R600a,0.4,30.0,120.0,1.835,0.44,2202.1,111.752,34.53,1015.6,1015.6,1668.6,757.7,1226.95,560.12,660.36,0.457
R290,R600,R290/R600,0.5,30.0,120.0,1.871,0.449,2202.1,112.629,39.939,1143.0,1143.0,1929.9,876.4,1204.06,560.12,637.57,0.465
R1270,R600,R1270/R600,0.3,30.0,120.0,1.878,0.451,2202.1,112.931,41.286,1179.4,1179.4,1995.0,906.0,1199.41,560.12,632.95,0.467
R290,R600,R290/R600,0.3,30.0,120.0,1.882,0.452,2202.1,113.386,42.558,1213.3,1213.3,2056.5,933.9,1197.19,560.12,630.73,0.468
R717,R600,R717/R600,0.4,20.0,120.0,1.848,0.49,2202.1,114.011,40.408,1173.1,1173.1,1952.6,886.7,1197.72,560.12,615.77,0.468
R290,R600a,R290/R600a,0.5,30.0,120.0,1.768,0.423,2202.1,116.158,36.219,1046.5,1046.5,1750.2,794.8,1272.21,560.12,705.37,0.44
R1270,R600a,R1270/R600a,0.4,30.0,120.0,1.752,0.419,2202.1,116.73,35.557,1029.2,1029.2,1718.2,780.2,1283.63,560.12,716.72,0.436
R290,R600a,R290/R600a,0.4,30.0,120.0,1.757,0.42,2202.1,117.085,36.844,1063.5,1063.5,1780.4,808.5,1280.04,560.12,713.15,0.438
R717,R600a,R717/R600a,0.3,30.0,120.0,1.729,0.413,2202.1,118.236,35.859,1050.3,1050.3,1732.8,786.9,1300.83,560.12,733.8,0.431
R1270,R600,R1270/R600,0.4,20.0,120.0,1.772,0.469,2202.1,118.521,41.443,1184.3,1184.3,2002.6,909.4,1248.4,560.12,667.86,0.449
R1270,R600,R1270/R600,0.5,20.0,120.0,1.756,0.465,2202.1,118.644,39.853,1141.7,1141.7,1925.7,874.5,1259.96,560.12,679.73,0.445
R290,R600,R290/R600,0.4,20.0,120.0,1.774,0.47,2202.1,119.204,43.015,1226.3,1226.3,2078.6,943.9,1247.18,560.12,666.61,0.449
R290,R600,R290/R600,0.5,20.0,120.0,1.759,0.466,2202.1,119.356,41.66,1190.0,1190.0,2013.1,914.2,1257.63,560.12,677.34,0.445
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.69,0.403,2202.1,120.969,36.704,1060.4,1060.4,1773.6,805.4,1330.16,560.12,762.93,0.421
R717,R600a,R717/R600a,0.4,20.0,120.0,1.683,0.445,2202.1,121.149,36.286,1064.6,1064.6,1753.4,796.2,1314.17,560.12,735.35,0.426
R290,R600a,R290/R600a,0.3,30.0,120.0,1.692,0.404,2202.1,121.347,37.793,1089.4,1089.4,1826.2,829.3,1328.11,560.12,760.89,0.422
R1270,R600a,R1270/R600a,0.5,20.0,120.0,1.655,0.437,2202.1,122.764,35.982,1041.1,1041.1,1738.7,789.6,1336.56,560.12,758.31,0.419
R290,R600a,R290/R600a,0.5,20.0,120.0,1.658,0.437,2202.1,123.386,37.607,1084.6,1084.6,1817.2,825.2,1334.23,560.12,755.92,0.42
R1270,R600a,R1270/R600a,0.4,20.0,120.0,1.628,0.429,2202.1,125.022,36.982,1068.3,1068.3,1787.0,811.5,1358.91,560.12,781.21,0.412
R290,R600a,R290/R600a,0.4,20.0,120.0,1.629,0.43,2202.1,125.604,38.352,1105.0,1105.0,1853.2,841.6,1357.68,560.12,779.95,0.413
