f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,30.0,120.0,1.878,0.451,5000,123.168,61.929
R1270,R600,R1270/R600,0.3,30.0,120.0,1.878,0.451,5500,120.376,56.299
R1270,R600,R1270/R600,0.3,30.0,120.0,1.878,0.451,6000,118.05,51.608
R1270,R600,R1270/R600,0.3,30.0,120.0,1.878,0.451,6500,116.081,47.638
R1270,R600,R1270/R600,0.3,30.0,120.0,1.878,0.451,7000,114.394,44.235
R1270,R600,R1270/R600,0.3,30.0,120.0,1.878,0.451,7500,112.931,41.286
R1270,R600,R1270/R600,0.3,40.0,120.0,2.038,0.439,5000,114.468,59.017
R1270,R600,R1270/R600,0.3,40.0,120.0,2.038,0.439,5500,111.807,53.651
R1270,R600,R1270/R600,0.3,40.0,120.0,2.038,0.439,6000,109.59,49.18
R1270,R600,R1270/R600,0.3,40.0,120.0,2.038,0.439,6500,107.714,45.397
R1270,R600,R1270/R600,0.3,40.0,120.0,2.038,0.439,7000,106.106,42.155
R1270,R600,R1270/R600,0.3,40.0,120.0,2.038,0.439,7500,104.712,39.344
R1270,R600,R1270/R600,0.3,50.0,120.0,2.214,0.422,5000,106.455,56.503
R1270,R600,R1270/R600,0.3,50.0,120.0,2.214,0.422,5500,103.908,51.366
R1270,R600,R1270/R600,0.3,50.0,120.0,2.214,0.422,6000,101.785,47.085
R1270,R600,R1270/R600,0.3,50.0,120.0,2.214,0.422,6500,99.989,43.463
R1270,R600,R1270/R600,0.3,50.0,120.0,2.214,0.422,7000,98.449,40.359
R1270,R600,R1270/R600,0.3,50.0,120.0,2.214,0.422,7500,97.115,37.668
R1270,R600,R1270/R600,0.4,20.0,120.0,1.772,0.469,5000,128.797,62.164
R1270,R600,R1270/R600,0.4,20.0,120.0,1.772,0.469,5500,125.994,56.513
R1270,R600,R1270/R600,0.4,20.0,120.0,1.772,0.469,6000,123.659,51.803
R1270,R600,R1270/R600,0.4,20.0,120.0,1.772,0.469,6500,121.683,47.818
R1270,R600,R1270/R600,0.4,20.0,120.0,1.772,0.469,7000,119.989,44.403
R1270,R600,R1270/R600,0.4,20.0,120.0,1.772,0.469,7500,118.521,41.443
R1270,R600,R1270/R600,0.4,30.0,120.0,1.898,0.456,5000,120.956,59.402
R1270,R600,R1270/R600,0.4,30.0,120.0,1.898,0.456,5500,118.278,54.002
R1270,R600,R1270/R600,0.4,30.0,120.0,1.898,0.456,6000,116.047,49.502
R1270,R600,R1270/R600,0.4,30.0,120.0,1.898,0.456,6500,114.158,45.694
R1270,R600,R1270/R600,0.4,30.0,120.0,1.898,0.456,7000,112.54,42.43
R1270,R600,R1270/R600,0.4,30.0,120.0,1.898,0.456,7500,111.137,39.601
R1270,R600,R1270/R600,0.5,20.0,120.0,1.756,0.465,5000,128.526,59.779
R1270,R600,R1270/R600,0.5,20.0,120.0,1.756,0.465,5500,125.831,54.345
R1270,R600,R1270/R600,0.5,20.0,120.0,1.756,0.465,6000,123.585,49.816
R1270,R600,R1270/R600,0.5,20.0,120.0,1.756,0.465,6500,121.684,45.984
R1270,R600,R1270/R600,0.5,20.0,120.0,1.756,0.465,7000,120.056,42.699
R1270,R600,R1270/R600,0.5,20.0,120.0,1.756,0.465,7500,118.644,39.853
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.69,0.403,5000,130.07,55.056
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.69,0.403,5500,127.588,50.051
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.69,0.403,6000,125.519,45.88
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.69,0.403,6500,123.769,42.351
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.69,0.403,7000,122.269,39.326
R1270,R600a,R1270/R600a,0.3,30.0,120.0,1.69,0.403,7500,120.969,36.704
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.849,0.396,5000,120.138,52.837
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.849,0.396,5500,117.756,48.034
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.849,0.396,6000,115.771,44.031
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.849,0.396,6500,114.091,40.644
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.849,0.396,7000,112.651,37.741
R1270,R600a,R1270/R600a,0.3,40.0,120.0,1.849,0.396,7500,111.404,35.225
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.026,0.385,5000,110.957,50.921
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.026,0.385,5500,108.661,46.291
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.026,0.385,6000,106.748,42.434
R1270,R600a,R1270/R600a,0.3,50.0,120.0,2.026,0.385,6500,105.129,39.17
