f1,f2,pair,ls,T_src,T_steam,epsilon_old,epsilon_new,d_eps_pp,E_F [kW]_old,E_F [kW]_new,E12_kW,E_P [kW],E_D [kW],c_P [EUR/GJ],COP
R717,R600,R717/R600,0.5,60.0,100.0,0.497,0.589,9.199999999999998,486.84,410.57,76.26999999999998,241.88,168.69,88.618,3.452
R717,R600,R717/R600,0.4,60.0,100.0,0.497,0.59,9.299999999999997,486.32,410.09,76.23000000000002,241.88,168.21,88.79,3.457
R717,R600,R717/R600,0.3,60.0,100.0,0.497,0.589,9.199999999999998,487.09,410.8,76.28999999999996,241.88,168.93,89.286,3.449
R717,R600a,R717/R600a,0.5,60.0,100.0,0.49,0.58,8.999999999999996,493.62,416.8,76.82,241.88,174.93,89.815,3.382
R717,R600a,R717/R600a,0.4,60.0,100.0,0.489,0.579,8.999999999999996,494.7,417.8,76.89999999999998,241.88,175.92,90.283,3.371
R717,R600a,R717/R600a,0.3,60.0,100.0,0.486,0.576,8.999999999999996,497.27,420.16,77.10999999999996,241.88,178.29,91.113,3.345
R290,R600,R290/R600,0.3,60.0,100.0,0.473,0.559,8.600000000000009,511.27,433.03,78.24000000000001,241.88,191.15,96.47,3.212
R1270,R600,R1270/R600,0.3,60.0,100.0,0.468,0.552,8.400000000000002,516.89,438.2,78.69,241.88,196.32,96.745,3.161
R290,R600,R290/R600,0.4,60.0,100.0,0.466,0.549,8.300000000000002,519.15,440.28,78.87,241.88,198.4,97.953,3.141
R717,R600,R717/R600,0.5,50.0,100.0,0.524,0.566,4.199999999999992,461.88,427.07,34.81,241.88,185.2,98.201,3.059
R1270,R600,R1270/R600,0.4,60.0,100.0,0.459,0.541,8.200000000000001,526.45,446.98,79.47000000000003,241.88,205.1,98.599,3.079
R290,R600a,R290/R600a,0.3,60.0,100.0,0.464,0.547,8.300000000000002,521.04,442.0,79.03999999999996,241.88,200.13,98.65,3.125
R717,R600,R717/R600,0.4,50.0,100.0,0.523,0.566,4.299999999999993,462.28,427.45,34.829999999999984,241.88,185.57,98.686,3.056
R1270,R600a,R1270/R600a,0.3,60.0,100.0,0.459,0.541,8.200000000000001,526.59,447.11,79.48000000000002,241.88,205.23,98.773,3.078
R717,R600a,R717/R600a,0.5,50.0,100.0,0.514,0.556,4.200000000000004,470.25,434.99,35.25999999999999,241.88,193.11,99.612,2.992
R717,R600,R717/R600,0.3,50.0,100.0,0.521,0.563,4.199999999999992,464.63,429.67,34.95999999999998,241.88,187.79,99.674,3.037
R290,R600a,R290/R600a,0.4,60.0,100.0,0.459,0.54,8.100000000000001,527.1,447.57,79.53000000000003,241.88,205.7,99.792,3.073
R1270,R600a,R1270/R600a,0.4,60.0,100.0,0.453,0.533,8.000000000000002,534.32,454.2,80.12000000000006,241.88,212.33,100.286,3.014
