Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-6.032e-11,0.199,0,-0,0,-0,-0,0
12,15,9.937,3,42.05,150.1,14.09,0.9397,0.7406,0.199,27.61,1.444e-16,27.61,690.3,1.343e-14,544.1
21,2.434,9.937,6.75,590.7,2404,255.4,104.9,0.3025,104.6,0.4872,75.95,76.44,183.8,82.84,83.13
22,2.434,75.51,22.35,665.8,2448,407.2,167.3,39.93,127.4,28.99,92.45,121.4,82.84,82.84,82.84
22c,2.434,49,22.35,330.9,1429,319.3,131.2,3.825,127.4,2.776,92.45,95.23,82.84,82.84,82.84
23,2.434,49,22.35,330.9,1429,319.3,131.2,3.825,127.4,2.776,92.45,95.23,82.84,82.84,82.84
24,2.434,4.937,6.75,330.9,1471,289.5,118.9,14.29,104.6,23.01,75.95,98.96,183.8,82.84,94.97
31,4.551,49,4.226,657.6,2466,263.8,57.97,28.94,29.03,56.71,39.13,95.85,119.6,82.28,100.9
32,4.551,105,16.8,726.4,2503,528.4,116.1,84.92,31.2,132.2,42.05,174.2,95.01,82.28,91.59
32c,4.551,105,16.8,478.5,1847,274.8,60.39,29.19,31.2,45.44,42.05,87.49,95.01,82.28,88.43
33,4.551,105,16.8,478.5,1847,274.8,60.39,29.19,31.2,45.44,42.05,87.49,95.01,82.28,88.43
34,4.551,44,4.226,478.5,1902,201.8,44.34,15.31,29.03,23.83,39.13,62.96,95.01,82.28,86.67
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,91.74,0,119.3,97.52,0,126.9
