label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,40.0,3.0,167.792,0.5723,0.015116,66.154,816.28,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,15.0,28.93,3.0,121.512,0.4218,0.015059,66.404,813.21,556.73,199.02,755.75
21,R290,SRC_HX,COMP1,3.62188,28.93,9.2629,609.771,2.3848,0.186241,5.369,2428.35,4744.44,109525.13,114269.57
22,R290,COMP1,IHX,3.62188,94.69,31.3188,680.732,2.4236,0.053348,18.745,695.59,59941.78,113907.26,173849.04
22c,R290,IHX,cc1,3.62188,75.0,31.3188,418.1,1.6823,0.009197,108.731,119.92,14627.29,113907.26,128534.55
23,R290,cc1,VAL1,3.62188,75.0,31.3188,418.1,1.6823,0.009197,108.731,119.92,14627.29,113907.26,128534.55
24,R290,VAL1,SRC_HX,3.62188,23.93,9.2629,418.1,1.7399,0.08737,11.446,1139.2,2130.16,109525.13,111655.29
31,R600a,IHX,COMP2,5.44647,75.0,10.8754,656.978,2.3845,0.198191,5.046,3886.0,51110.0,44831.3,95941.29
32,R600a,COMP2,SNK_HX,5.44647,107.82,21.7777,689.473,2.4016,0.088272,11.329,1730.78,76640.96,46780.02,123420.98
32c,R600a,SNK_HX,cc2,5.44647,105.0,21.7777,482.329,1.8539,0.013042,76.673,255.73,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.44647,105.0,21.7777,482.329,1.8539,0.013042,76.673,255.73,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.44647,70.0,10.8754,482.329,1.8757,0.08238,12.139,1615.25,25593.02,44831.3,70424.32
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
