Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.93,3,121.5,421.8,11.34,0.7557,0.5567,0.199,5.692e-14,6.648e-17,5.699e-14,1.893e-12,6.186e-15,1.396e-12
21,3.622,28.93,9.263,609.8,2385,413.9,114.3,4.744,109.5,9.853,121.6,131.5,159.3,85.15,88.23
22,3.622,94.69,31.32,680.7,2424,629.7,173.8,59.94,113.9,71.14,126.5,197.6,91.02,85.15,87.18
22c,3.622,75,31.32,418.1,1682,465.5,128.5,14.63,113.9,17.36,126.5,143.8,91.02,85.15,85.82
23,3.622,75,31.32,418.1,1682,465.5,128.5,14.63,113.9,17.36,126.5,143.8,91.02,85.15,85.82
24,3.622,23.93,9.263,418.1,1740,404.4,111.7,2.13,109.5,2.528,121.6,124.1,91.02,85.15,85.26
31,5.446,75,10.88,657,2384,522.5,95.94,51.11,44.83,118,76.46,194.5,117.8,86.98,103.4
32,5.446,107.8,21.78,689.5,2402,672.2,123.4,76.64,46.78,161.6,79.78,241.3,107.5,86.98,99.73
32c,5.446,105,21.78,482.3,1854,418.5,76.83,30.05,46.78,63.36,79.78,143.1,107.5,86.98,95.01
33,5.446,105,21.78,482.3,1854,418.5,76.83,30.05,46.78,63.36,79.78,143.1,107.5,86.98,95.01
34,5.446,70,10.88,482.3,1876,383.6,70.42,25.59,44.83,53.95,76.46,130.4,107.5,86.98,94.44
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,104.5,0,104.5,111.1,0,111.1
