Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,162.4,138.8,23.59,0,85.47,5.49,12.56,32.88,38.38,4.776,3.319,8.095,41,16.73,56.25,76.82
COMP2,190.6,161,29.53,0,84.51,6.872,15.72,37.41,46.49,5.797,6.341,12.14,52.24,24.25,54.54,80.18
IHX,159.2,125.1,34.15,0,78.55,7.949,18.19,40.12,45.87,8.606,2.588,11.19,23.12,45.54,70,101.9
MOT1,170.9,162.4,8.545,0,95,1.989,4.55,31.09,32.88,1.554,0.9992,2.554,39.13,5.757,50.52,56.25
MOT2,200.6,190.6,10.03,0,95,2.334,5.341,36.49,37.41,1.824,0,1.824,0,2.542,50.52,54.54
SNK_HX,253.6,241.9,11.74,0,95.37,2.732,6.251,82.09,86.79,3.8,3.611,7.411,48.73,10.85,89.92,99.67
SRC_HX,58.16,32.13,26.03,0,55.24,6.059,13.86,-9.875e-14,4.769,-4.42e-14,2.362,2.362,100,inf,-4.716e-13,41.23
VAL1,11.67,,11.67,0,,2.717,6.216,3.021,,3.021,0,3.021,0,inf,71.89,
VAL2,32.51,,32.51,0,,7.565,17.31,10.26,,10.26,0,10.26,0,inf,87.69,
TOT,429.7,241.9,187.8,0,56.29,43.71,100,67.57,86.79,29.53,19.22,48.75,39.42,128.2,43.68,99.67
