f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600,R717/R600,0.5,60.0,110.0,3.063,0.449,OK,1114.8,87.675,16.443,812.5,728.8,258.5,630.3,443.59,261.87,181.72,0.59
R717,R600,R717/R600,0.4,60.0,110.0,3.058,0.448,OK,1114.8,88.064,16.705,825.5,740.5,249.7,708.9,444.11,261.87,182.25,0.59
R717,R600a,R717/R600a,0.5,60.0,110.0,2.962,0.433,OK,1114.8,89.814,16.204,800.7,718.2,253.3,568.8,454.97,261.87,193.1,0.576
R717,R600,R717/R600,0.3,60.0,110.0,3.034,0.444,OK,1114.8,90.159,18.17,897.9,805.4,240.8,798.7,446.69,261.87,184.82,0.586
R717,R600a,R717/R600a,0.4,60.0,110.0,2.932,0.429,OK,1114.8,92.295,17.854,882.2,791.4,243.3,640.0,458.44,261.87,196.57,0.571
R717,R600a,R717/R600a,0.3,60.0,110.0,2.883,0.421,OK,1114.8,93.911,18.204,899.5,806.9,233.1,720.9,464.36,261.87,202.49,0.564
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,OK,1114.8,96.344,17.114,845.7,758.6,481.3,708.9,481.41,261.87,219.54,0.544
R717,R600,R717/R600,0.5,50.0,110.0,2.75,0.472,OK,1114.8,96.514,17.247,852.3,764.5,309.4,708.9,460.93,261.87,199.07,0.568
R717,R600,R717/R600,0.4,50.0,110.0,2.735,0.47,OK,1114.8,97.327,17.621,870.7,781.0,296.6,818.1,462.97,261.87,201.11,0.566
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,OK,1114.8,97.708,20.233,999.8,896.8,440.9,798.7,472.17,261.87,210.31,0.555
R290,R600a,R290/R600a,0.4,60.0,110.0,2.655,0.386,OK,1114.8,98.862,16.836,832.0,746.3,469.2,640.0,494.76,261.87,232.89,0.529
R717,R600a,R717/R600a,0.5,50.0,110.0,2.653,0.455,OK,1114.8,99.058,16.952,837.7,751.4,301.4,640.0,474.91,261.87,213.04,0.551
R717,R600,R717/R600,0.3,50.0,110.0,2.7,0.464,OK,1114.8,99.937,19.125,945.0,847.7,283.6,946.5,467.94,261.87,206.07,0.56
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,OK,1114.8,101.815,20.766,1026.1,920.4,427.1,720.9,488.99,261.87,227.12,0.536
R717,R600a,R717/R600a,0.4,50.0,110.0,2.613,0.448,OK,1114.8,101.955,18.52,915.1,820.9,286.9,738.4,480.94,261.87,219.08,0.544
R717,R600a,R717/R600a,0.3,50.0,110.0,2.552,0.437,OK,1114.8,104.439,19.012,939.5,842.7,271.8,853.5,490.53,261.87,228.66,0.534
R717,R600,R717/R600,0.5,40.0,110.0,2.493,0.491,OK,1114.8,105.61,18.218,900.2,807.5,375.2,798.7,479.66,261.87,217.79,0.546
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,1114.8,106.062,20.15,995.7,893.2,411.7,946.5,492.56,261.87,230.69,0.532
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,OK,1114.8,106.268,21.101,1042.7,935.3,485.0,946.5,488.64,261.87,226.77,0.536
R717,R600,R717/R600,0.4,40.0,110.0,2.47,0.487,OK,1114.8,106.957,18.735,925.8,830.4,356.9,946.5,483.68,261.87,221.81,0.541
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,OK,1114.8,107.115,17.799,879.5,788.9,591.3,708.9,509.88,261.87,248.02,0.514
