f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,5000,148.712,36.839
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,5500,145.159,33.49
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,6000,142.199,30.699
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,6500,139.694,28.337
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,7000,137.547,26.313
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,7500,135.686,24.559
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,V_OUT,5000,136.919,33.93
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,V_OUT,5500,133.647,30.845
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,V_OUT,6000,130.921,28.275
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,V_OUT,6500,128.614,26.1
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,V_OUT,7000,126.636,24.235
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,V_OUT,7500,124.922,22.62
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,V_OUT,5000,126.297,31.796
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,V_OUT,5500,123.231,28.905
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,V_OUT,6000,120.676,26.496
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,V_OUT,6500,118.514,24.458
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,V_OUT,7000,116.661,22.711
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,V_OUT,7500,115.055,21.197
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,V_OUT,5000,116.75,30.226
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,V_OUT,5500,113.835,27.478
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,V_OUT,6000,111.406,25.188
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,V_OUT,6500,109.351,23.251
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,V_OUT,7000,107.589,21.59
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,V_OUT,7500,106.062,20.15
R1270,R600,R1270/R600,0.3,60.0,110.0,2.776,0.405,V_OUT,5000,108.413,29.162
R1270,R600,R1270/R600,0.3,60.0,110.0,2.776,0.405,V_OUT,5500,105.6,26.511
R1270,R600,R1270/R600,0.3,60.0,110.0,2.776,0.405,V_OUT,6000,103.257,24.302
R1270,R600,R1270/R600,0.3,60.0,110.0,2.776,0.405,V_OUT,6500,101.274,22.432
R1270,R600,R1270/R600,0.3,60.0,110.0,2.776,0.405,V_OUT,7000,99.574,20.83
R1270,R600,R1270/R600,0.3,60.0,110.0,2.776,0.405,V_OUT,7500,98.101,19.441
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,V_OUT,5000,145.244,34.508
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,V_OUT,5500,141.917,31.371
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,V_OUT,6000,139.144,28.756
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,V_OUT,6500,136.797,26.544
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,V_OUT,7000,134.786,24.648
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,V_OUT,7500,133.043,23.005
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,V_OUT,5000,135.273,32.419
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,V_OUT,5500,132.147,29.472
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,V_OUT,6000,129.542,27.016
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,V_OUT,6500,127.337,24.938
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,V_OUT,7000,125.448,23.156
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,V_OUT,7500,123.81,21.613
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,V_OUT,5000,126.119,30.833
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,V_OUT,5500,123.146,28.03
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,V_OUT,6000,120.668,25.694
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,V_OUT,6500,118.572,23.718
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,V_OUT,7000,116.775,22.024
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,V_OUT,7500,115.217,20.555
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,5000,117.846,29.685
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,5500,114.984,26.986
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,6000,112.598,24.737
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,6500,110.58,22.834
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,7000,108.85,21.203
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,7500,107.35,19.79
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,5000,145.593,33.386
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,5500,142.374,30.351
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,6000,139.691,27.822
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,6500,137.421,25.681
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,7000,135.475,23.847
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,V_OUT,7500,133.788,22.257
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,5000,136.701,31.646
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,5500,133.649,28.769
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,6000,131.106,26.372
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,6500,128.954,24.343
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,7000,127.11,22.604
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,V_OUT,7500,125.511,21.097
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,5000,128.556,30.381
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,5500,125.627,27.62
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,6000,123.185,25.318
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,6500,121.119,23.37
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,7000,119.348,21.701
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,7500,117.814,20.254
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,5000,155.726,36.26
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,5500,152.229,32.964
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,6000,149.315,30.217
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,6500,146.85,27.892
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,7000,144.736,25.9
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,V_OUT,7500,142.905,24.173
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,5000,143.281,33.815
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,5500,140.021,30.741
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,6000,137.303,28.18
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,6500,135.004,26.012
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,7000,133.033,24.154
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,V_OUT,7500,131.325,22.544
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,5000,131.904,31.981
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,5500,128.82,29.073
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,6000,126.25,26.651
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,6500,124.076,24.601
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,7000,122.212,22.843
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,7500,120.596,21.32
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,5000,121.585,30.619
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,5500,118.632,27.836
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,6000,116.172,25.516
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,6500,114.09,23.553
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,7000,112.305,21.871
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,7500,110.758,20.413
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,5000,112.513,29.717
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,5500,109.647,27.016
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,6000,107.259,24.764
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,6500,105.238,22.859
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,7000,103.506,21.227
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,7500,102.005,19.812
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,5000,150.644,34.252
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,5500,147.341,31.139
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,6000,144.589,28.544
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,6500,142.26,26.348
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,7000,140.263,24.466
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,V_OUT,7500,138.533,22.835
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,5000,140.201,32.458
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,5500,137.071,29.508
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,6000,134.463,27.049
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,6500,132.256,24.968
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,7000,130.364,23.185
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,V_OUT,7500,128.724,21.639
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,5000,130.536,31.095
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,5500,127.538,28.269
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,6000,125.039,25.913
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,6500,122.925,23.92
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,7000,121.112,22.211
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,7500,119.541,20.73
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,5000,121.746,30.122
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,5500,118.841,27.384
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,6000,116.42,25.102
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,6500,114.372,23.171
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,7000,112.616,21.516
