f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,100.0,95.004,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,110.0,101.899,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,120.0,108.795,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,130.0,115.69,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,140.0,122.585,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,150.0,129.481,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,160.0,136.376,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,170.0,143.271,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,180.0,150.166,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,190.0,157.062,24.559
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,200.0,163.957,24.559
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,100.0,87.471,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,110.0,93.819,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,120.0,100.166,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,130.0,106.514,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,140.0,112.862,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,150.0,119.209,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,160.0,125.557,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,170.0,131.905,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,180.0,138.252,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,190.0,144.6,22.62
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,200.0,150.948,22.62
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,100.0,80.705,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,110.0,86.527,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,120.0,92.349,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,130.0,98.171,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,140.0,103.993,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,150.0,109.815,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,160.0,115.637,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,170.0,121.459,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,180.0,127.281,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,190.0,133.103,21.197
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,OK,200.0,138.925,21.197
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,100.0,74.637,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,110.0,79.964,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,120.0,85.29,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,130.0,90.616,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,140.0,95.942,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,150.0,101.269,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,160.0,106.595,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,170.0,111.921,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,180.0,117.247,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,190.0,122.574,20.15
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,OK,200.0,127.9,20.15
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,100.0,92.73,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,110.0,99.563,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,120.0,106.395,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,130.0,113.228,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,140.0,120.061,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,150.0,126.893,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,160.0,133.726,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,170.0,140.559,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,180.0,147.391,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,190.0,154.224,23.005
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,200.0,161.057,23.005
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,100.0,86.375,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,110.0,92.72,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,120.0,99.065,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,130.0,105.41,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,140.0,111.755,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,150.0,118.1,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,160.0,124.445,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,170.0,130.79,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,180.0,137.135,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,190.0,143.48,21.613
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,200.0,149.824,21.613
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,100.0,78.156,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,110.0,84.031,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,120.0,89.906,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,130.0,95.782,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,140.0,101.657,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,150.0,107.532,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,160.0,113.407,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,170.0,119.282,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,180.0,125.157,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,190.0,131.032,18.295
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,OK,200.0,136.907,18.295
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,100.0,90.839,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,110.0,97.769,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,120.0,104.698,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,130.0,111.628,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,140.0,118.557,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,150.0,125.487,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,160.0,132.416,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,170.0,139.346,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,180.0,146.275,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,190.0,153.204,20.31
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,200.0,160.134,20.31
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,100.0,84.996,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,110.0,91.482,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,120.0,97.968,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,130.0,104.455,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,140.0,110.941,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,150.0,117.427,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,160.0,123.913,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,170.0,130.4,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,180.0,136.886,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,190.0,143.372,18.98
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,200.0,149.859,18.98
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,100.0,99.392,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,110.0,106.767,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,120.0,114.142,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,130.0,121.517,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,140.0,128.892,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,150.0,136.267,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,160.0,143.642,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,170.0,151.017,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,180.0,158.392,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,190.0,165.767,24.173
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,200.0,173.142,24.173
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,100.0,91.468,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,110.0,98.223,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,120.0,104.979,22.544
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,130.0,111.734,22.544
