label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,30.0,3.0,126.004,0.4367,0.015064,66.383,813.47,697.18,199.02,896.2
12,water (source),SRC_HX,source outlet,15.0,20.32,3.0,85.536,0.301,0.015027,66.549,811.44,0.73,199.02,199.76
21,R1270,SRC_HX,COMP1,3.28472,20.32,8.9964,600.202,2.3886,0.179138,5.582,2118.3,0.32,119098.49,119098.81
22,R1270,COMP1,IHX,3.28472,103.69,37.2055,687.833,2.4355,0.045012,22.216,532.27,62750.62,130229.76,192980.38
22c,R1270,IHX,cc1,3.28472,75.0,37.2055,415.401,1.6703,0.008324,120.131,98.43,14645.71,130229.76,144875.47
23,R1270,cc1,VAL1,3.28472,75.0,37.2055,415.401,1.6703,0.008324,120.131,98.43,14645.71,130229.76,144875.47
24,R1270,VAL1,SRC_HX,3.28472,15.32,8.9964,415.401,1.7482,0.090365,11.066,1068.56,2918.5,119098.49,122016.99
31,R600,IHX,COMP2,4.8629,75.0,8.0908,694.63,2.496,0.25036,3.994,4382.9,56531.77,29698.23,86230.0
32,R600,COMP2,SNK_HX,4.8629,116.11,20.2302,739.862,2.5193,0.089225,11.208,1562.01,92844.46,31789.28,124633.74
32c,R600,SNK_HX,cc2,4.8629,115.0,20.2302,510.611,1.9287,0.011121,89.923,194.68,36731.57,31789.28,68520.84
33,R600,cc2,VAL2,4.8629,115.0,20.2302,510.611,1.9287,0.011121,89.923,194.68,36731.57,31789.28,68520.84
34,R600,VAL2,IHX,4.8629,70.0,8.0908,510.611,1.96,0.111889,8.937,1958.77,29651.73,29698.23,59349.96
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
42,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
