Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,183.7,154.9,28.84,0,84.3,5.83,12.39,37.12,46.08,5.826,3.178,9.004,35.29,24.14,56.11,82.63
COMP2,215,182.8,32.29,0,84.98,6.527,13.87,43.44,55.16,6.523,5.248,11.77,44.58,26.98,56.11,83.84
IHX,167.2,142.6,24.64,0,85.26,4.981,10.58,41.68,51.76,6.142,5.14,11.28,45.56,45.64,69.24,100.8
MOT1,193.4,183.7,9.67,0,95,1.955,4.153,35.18,37.12,1.759,0,1.759,0,5.51,50.52,56.11
MOT2,226.4,215,11.32,0,95,2.288,4.861,41.17,43.44,2.059,0,2.059,0,5.51,50.52,56.11
SNK_HX,273.1,261.9,11.22,0,95.89,2.269,4.82,90.12,96.16,3.703,3.797,7.501,50.63,11.28,91.66,102
SRC_HX,74.93,53.64,21.29,0,71.58,4.304,9.145,-1.405e-14,6.716,-3.993e-15,2.449,2.449,100,inf,-5.209e-14,34.78
VAL1,41.32,,41.32,0,,8.353,17.75,11.11,,11.11,0,11.11,0,inf,74.69,
VAL2,52.23,,52.23,0,,10.56,22.43,16.81,,16.81,0,16.81,0,inf,89.37,
TOT,494.7,261.9,232.8,0,52.93,47.07,100,76.35,96.16,35.93,19.81,55.75,35.54,137.9,42.87,102
