f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R1270,R600,R1270/R600,0.3,20,120.0,V_ONLY,V_ONLY,"V_c1, V_c2",V_c2,,1.768,0.468,1101.06,1800.0,6.9,60.0,82.2,50.0,125.0,125.0,7.14,25.28,4.96,24.17,516.6,1671.9,165.81,425.77,622.71,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R1270,R600,R1270/R600,0.3,30,120.0,V_ONLY,OK,"V_c1, V_c2",,,1.913,0.459,1101.06,1800.0,16.2,67.0,87.4,57.0,125.0,125.1,9.2,29.06,5.93,24.17,462.9,1393.7,171.65,375.24,575.67,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,40,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.074,0.447,1101.06,1800.0,25.5,74.0,93.1,64.0,125.0,125.5,11.68,33.25,7.03,24.17,419.5,1167.1,177.3,326.93,530.76,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,50,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.252,0.43,1101.06,1800.0,34.8,81.0,99.2,71.0,125.0,126.1,14.64,37.9,8.28,24.17,385.5,981.2,183.5,280.89,488.83,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,60,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.44,0.406,1101.06,1800.0,44.3,88.0,105.5,78.0,125.0,126.7,18.14,43.08,9.68,24.17,360.7,827.9,191.48,237.14,451.17,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.802,0.477,1101.06,1800.0,6.7,70.0,94.5,60.0,125.0,125.3,7.1,30.8,6.38,24.17,610.8,1291.0,226.15,354.26,610.96,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,30,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.929,0.463,1101.06,1800.0,16.1,76.0,98.5,66.0,125.0,125.7,9.18,34.53,7.37,24.17,538.2,1110.2,228.83,313.54,570.92,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,40,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.066,0.445,1101.06,1800.0,25.5,82.0,103.0,72.0,125.0,126.2,11.69,38.61,8.47,24.17,481.5,957.5,231.69,274.5,532.83,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,50,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,2.213,0.422,1101.06,1800.0,35.0,88.0,107.9,78.0,125.0,126.7,14.69,43.08,9.68,24.17,438.2,827.9,235.61,237.14,497.63,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=43.9 bar ≥ 0.95·p_crit=43.3 bar,
R1270,R600,R1270/R600,0.5,20,120.0,HARD,OK,"p_c1, V_c1, V_c2",,,1.782,0.472,1101.06,1800.0,6.8,80.0,106.6,70.0,125.0,126.0,7.12,37.21,8.09,24.17,718.1,1005.6,299.77,287.32,617.99,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.5,30,120.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,1.886,0.453,1101.06,1800.0,16.3,85.0,109.5,75.0,125.0,126.4,9.23,40.79,9.06,24.17,626.0,890.1,299.01,255.61,583.81,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.5,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R1270,R600,R1270/R600,0.5,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=44.7 bar ≥ 0.95·p_crit=43.3 bar,
R1270,R600,R1270/R600,0.5,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=95.0 °C ≥ T_crit=91.1 °C,
R1270,R600,R1270/R600,0.6,20,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R1270,R600,R1270/R600,0.6,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: p_cond_c1=43.9 bar ≥ 0.95·p_crit=43.3 bar,
R1270,R600,R1270/R600,0.6,40,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=93.0 °C ≥ T_crit=91.1 °C,
R1270,R600,R1270/R600,0.6,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=97.0 °C ≥ T_crit=91.1 °C,
R1270,R600,R1270/R600,0.6,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=101.0 °C ≥ T_crit=91.1 °C,
R1270,R600,R1270/R600,0.7,20,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=95.0 °C ≥ T_crit=91.1 °C,
R1270,R600,R1270/R600,0.7,30,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,T_crit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R1270: T_cond_c1=98.0 °C ≥ T_crit=91.1 °C,
