f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R1270,R600,R1270/R600,0.3,20,100.0,V_ONLY,V_ONLY,"V_c1, V_c2",V_c2,,2.161,0.492,1128.2,1800.0,4.9,54.0,75.5,44.0,105.0,105.0,6.75,22.35,4.23,16.8,634.5,1599.9,182.84,313.2,522.14,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R1270,R600,R1270/R600,0.3,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.361,0.477,1128.2,1800.0,14.2,61.0,80.6,51.0,105.0,105.2,8.74,25.8,5.09,16.8,551.2,1330.7,183.39,270.62,477.9,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,40,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.592,0.456,1128.2,1800.0,23.6,68.0,86.2,58.0,105.0,105.7,11.15,29.63,6.08,16.8,485.4,1112.6,183.73,229.73,435.22,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,50,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.859,0.429,1128.2,1800.0,33.0,75.0,92.1,65.0,105.0,106.3,14.01,33.89,7.2,16.8,433.7,934.5,184.32,190.57,394.62,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.3,60,100.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,3.161,0.392,1128.2,1800.0,42.4,82.0,98.4,72.0,105.0,106.9,17.41,38.61,8.47,16.8,394.2,788.2,185.91,153.15,356.9,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,20,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.167,0.494,1128.2,1800.0,4.9,62.0,85.4,52.0,105.0,105.3,6.75,26.32,5.22,16.8,702.0,1296.7,229.98,264.67,520.68,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,30,100.0,V_ONLY,OK,"V_c1, V_c2",,,2.351,0.475,1128.2,1800.0,14.3,68.0,89.3,58.0,105.0,105.7,8.75,29.63,6.08,16.8,603.3,1112.6,226.17,229.73,479.89,R1270,R600,1.0,True,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,40,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.563,0.451,1128.2,1800.0,23.7,74.0,93.6,64.0,105.0,106.2,11.17,33.25,7.03,16.8,526.2,957.8,222.16,196.06,440.23,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,50,100.0,HARD,OK,"p_c1, V_c1, V_c2",,,2.805,0.421,1128.2,1800.0,33.1,80.0,98.4,70.0,105.0,106.7,14.05,37.21,8.09,16.8,466.1,827.2,218.41,163.66,402.18,R1270,R600,1.0,False,True,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R1270,R600,R1270/R600,0.4,60,100.0,HARD,HARD,"p_c1, V_c1, V_c2",p_c1,,3.079,0.381,1128.2,1800.0,42.6,86.0,103.4,76.0,105.0,107.2,17.46,41.54,9.27,16.8,420.1,716.3,215.59,132.54,366.45,R1270,R600,1.0,False,True,True,True,False,False,False,True,True,True,True,True,False,ok,0.5
