f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,component,PEC [EUR],PEC [EUR/kW]
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,COMP1,242517.0,214.96
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,COMP2,508298.0,450.54
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,IHX,169659.2,150.38
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,SNK_HX,174749.5,154.89
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,SRC_HX,109397.0,96.97
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,COMP1,216097.0,191.54
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,COMP2,427601.9,379.01
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,IHX,180332.0,159.84
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,SNK_HX,175576.8,155.63
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,SRC_HX,113279.7,100.41
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,COMP1,194915.2,172.77
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,COMP2,364251.5,322.86
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,IHX,190656.8,168.99
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,SNK_HX,177001.5,156.89
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,SRC_HX,117143.9,103.83
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,COMP1,177986.3,157.76
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,COMP2,313315.9,277.71
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,IHX,201186.7,178.33
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,MOT2,0.0,0.0
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,SNK_HX,178450.3,158.17
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,SRC_HX,121082.5,107.32
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,COMP1,268429.7,237.93
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,COMP2,417630.3,370.17
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,IHX,170007.0,150.69
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,MOT1,0.0,0.0
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,MOT2,0.0,0.0
