f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,100.0,96.592,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,110.0,103.452,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,120.0,110.312,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,130.0,117.171,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,140.0,124.031,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,150.0,130.89,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,160.0,137.75,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,170.0,144.61,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,180.0,151.469,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,190.0,158.329,24.378
R1270,R600,R1270/R600,0.3,20.0,100.0,2.161,0.492,V_OUT,200.0,165.188,24.378
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,100.0,88.648,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,110.0,94.926,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,120.0,101.205,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,130.0,107.483,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,140.0,113.761,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,150.0,120.04,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,160.0,126.318,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,170.0,132.596,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,180.0,138.875,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,190.0,145.153,22.522
R1270,R600,R1270/R600,0.3,30.0,100.0,2.361,0.477,OK,200.0,151.432,22.522
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,100.0,81.439,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,110.0,87.157,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,120.0,92.874,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,130.0,98.592,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,140.0,104.31,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,150.0,110.027,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,160.0,115.745,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,170.0,121.462,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,180.0,127.18,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,190.0,132.898,21.127
R1270,R600,R1270/R600,0.3,40.0,100.0,2.592,0.456,OK,200.0,138.615,21.127
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,100.0,74.898,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,110.0,80.083,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,120.0,85.267,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,130.0,90.451,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,140.0,95.636,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,150.0,100.82,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,160.0,106.004,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,170.0,111.189,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,180.0,116.373,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,190.0,121.557,20.076
R1270,R600,R1270/R600,0.3,50.0,100.0,2.859,0.429,OK,200.0,126.741,20.076
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,100.0,94.945,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,110.0,101.786,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,120.0,108.626,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,130.0,115.467,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,140.0,122.307,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,150.0,129.147,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,160.0,135.988,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,170.0,142.828,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,180.0,149.669,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,190.0,156.509,23.111
R1270,R600,R1270/R600,0.4,20.0,100.0,2.167,0.494,OK,200.0,163.35,23.111
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,100.0,87.946,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,110.0,94.25,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,120.0,100.555,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,130.0,106.859,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,140.0,113.164,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,150.0,119.468,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,160.0,125.773,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,170.0,132.077,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,180.0,138.382,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,190.0,144.686,21.682
R1270,R600,R1270/R600,0.4,30.0,100.0,2.351,0.475,OK,200.0,150.991,21.682
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,100.0,81.472,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,110.0,87.255,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,120.0,93.039,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,130.0,98.822,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,140.0,104.606,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,150.0,110.389,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,160.0,116.172,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,170.0,121.956,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,180.0,127.739,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,190.0,133.523,20.582
R1270,R600,R1270/R600,0.4,40.0,100.0,2.563,0.451,OK,200.0,139.306,20.582
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,100.0,72.939,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,110.0,78.223,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,120.0,83.507,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,130.0,88.79,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,140.0,94.074,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,150.0,99.358,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,160.0,104.641,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,170.0,109.925,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,180.0,115.208,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,190.0,120.492,17.505
R1270,R600,R1270/R600,0.4,50.0,100.0,2.805,0.421,OK,200.0,125.776,17.505
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,100.0,95.136,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,110.0,102.078,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,120.0,109.019,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,130.0,115.96,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,140.0,122.902,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,150.0,129.843,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,160.0,136.784,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,170.0,143.726,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,180.0,150.667,22.398
R1270,R600,R1270/R600,0.5,20.0,100.0,2.135,0.486,OK,190.0,157.608,22.398
