Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,40,3,167.8,572.3,43.9,2.927,2.728,0.199,0,-0,0,0,-0,0
12,15,28.85,3,121.2,420.8,11.2,0.7467,0.5477,0.199,1.207e-14,2.598e-17,1.21e-14,4.083e-13,2.418e-15,3.001e-13
21,3.638,28.85,11.22,607.5,2377,472.5,129.9,4.643,125.2,9.169,134.5,143.6,150.8,81.99,84.45
22,3.638,101,37.21,680.5,2416,696.3,191.4,61.14,130.2,69.84,139.8,209.7,87.21,81.99,83.66
22c,3.638,75,37.21,415.4,1670,527.1,144.9,14.65,130.2,16.73,139.8,156.6,87.21,81.99,82.51
23,3.638,75,37.21,415.4,1670,527.1,144.9,14.65,130.2,16.73,139.8,156.6,87.21,81.99,82.51
24,3.638,23.85,11.22,415.4,1730,463.1,127.3,2.073,125.2,2.367,134.5,136.8,87.21,81.99,82.07
31,4.463,75,8.091,694.6,2496,384.8,86.23,56.53,29.7,104.9,41.67,146.5,115.4,87.32,105.8
32,4.463,106.7,16.8,731.3,2515,523.2,117.2,86.02,31.2,146.2,43.77,190,105.8,87.32,100.9
32c,4.463,105,16.8,478.5,1847,269.5,60.39,29.19,31.2,49.63,43.77,93.4,105.8,87.32,96.26
33,4.463,105,16.8,478.5,1847,269.5,60.39,29.19,31.2,49.63,43.77,93.4,105.8,87.32,96.26
34,4.463,70,8.091,478.5,1866,244,54.67,24.97,29.7,42.46,41.67,84.12,105.8,87.32,95.77
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,102.5,0,102.5,108.9,0,108.9
