label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
13,water (source),SRC_HX,source outlet,15.0,10.27,3.0,43.45,0.1551,0.015003,66.652,810.18,691.74,199.02,890.76
21,R290,SRC_HX,COMP1,2.38722,10.27,5.5552,589.566,2.3988,0.203274,4.919,1746.94,296.28,89651.7,89947.98
22,R290,COMP1,IHX,2.38722,69.42,18.6717,662.282,2.4416,0.063405,15.772,544.9,38706.54,111400.79,150107.34
22c,R290,IHX,cc1,2.38722,49.0,18.6717,333.548,1.4391,0.005283,189.291,45.4,3881.01,111400.79,115281.8
23,R290,cc1,VAL1,2.38722,49.0,18.6717,333.548,1.4391,0.005283,189.291,45.4,3881.01,111400.79,115281.8
24,R290,VAL1,SRC_HX,2.38722,5.27,5.5552,333.548,1.4796,0.067875,14.733,583.31,13756.42,89651.7,103408.12
31,R600a,IHX,COMP2,5.58495,49.0,5.8923,622.842,2.3556,0.378381,2.643,7607.66,26343.37,43938.15,70281.52
32,R600a,COMP2,SNK_HX,5.58495,106.15,21.7777,684.337,2.3881,0.088703,11.274,1783.45,75465.7,46780.02,122245.72
32c,R600a,SNK_HX,cc2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.58495,105.0,21.7777,482.329,1.8539,0.013374,74.772,268.9,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.58495,44.0,5.8923,482.329,1.9127,0.216111,4.627,4345.1,15639.47,43938.15,59577.62
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
43,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
