Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,174.3,144.3,29.98,0,82.8,5.478,10.27,35.29,45.83,6.07,5.486,11.56,47.48,29.84,56.25,88.2
COMP2,343.4,290.2,53.22,0,84.5,9.726,18.23,68.8,86.88,10.66,9.129,19.79,46.13,26.29,55.64,83.16
IHX,83.14,59.78,23.36,0,71.91,4.268,7.999,26.4,34.77,7.416,4.44,11.86,37.45,83.16,88.2,161.6
MOT1,182.7,173.6,9.136,0,95,1.67,3.129,33.24,34.77,1.662,0,1.662,0,4.626,50.52,55.64
MOT2,361.5,343.4,18.08,0,95,3.303,6.191,65.76,68.8,3.288,0,3.288,0,4.626,50.52,55.64
SNK_HX,253.6,241.9,11.74,0,95.37,2.146,4.022,88.73,94.35,4.109,3.638,7.746,46.96,11.49,97.18,108.4
SRC_HX,32.13,10.38,21.76,0,32.29,3.976,7.451,23.68,29.52,16.03,2.187,18.22,12,286.2,204.7,790.4
VAL1,61.18,32.84,28.35,0,53.67,5.18,9.707,19.43,24.2,9,0,9,0,132.1,88.2,204.7
VAL2,96.38,,96.38,0,,17.61,33.01,32.92,,32.92,0,32.92,0,inf,94.87,
TOT,547.2,241.9,292,13.36,44.2,53.36,100,98.99,123.9,52.82,24.88,77.7,32.02,183.1,50.25,142.3
