f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,Q_H_kW,m_steam [kg/s],m_steam [kg/h],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],scale_k,COP,eta_Lorenz,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status,status_4state
R290,R600a,0.3,20,110.0,,R290,R600a,1114.82,0.5,1800.0,643.6,1444.5,161.38,414.94,606.65,1.0,1.838,0.452,5.75,19.89,72.5,6.36,26.02,116.6,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,30,110.0,,R290,R600a,1114.82,0.5,1800.0,572.0,1207.7,166.21,361.03,554.99,1.0,2.009,0.444,7.44,22.96,78.1,7.55,26.02,116.9,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,40,110.0,,R290,R600a,1114.82,0.5,1800.0,513.0,1013.6,170.22,309.71,505.19,1.0,2.207,0.432,9.49,26.38,84.2,8.89,26.02,117.3,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.3,50,110.0,,R290,R600a,1114.82,0.5,1800.0,465.0,853.5,173.87,261.04,457.8,1.0,2.435,0.416,11.94,30.16,90.6,10.41,26.02,117.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.3,60,110.0,,R290,R600a,1114.82,0.5,1800.0,427.1,720.9,177.82,215.04,413.54,1.0,2.696,0.392,14.83,34.36,97.4,12.11,26.02,118.3,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,20,110.0,,R290,R600a,1114.82,0.5,1800.0,751.9,1148.3,215.4,346.1,591.06,1.0,1.886,0.465,5.71,23.9,82.7,7.92,26.02,117.0,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,30,110.0,,R290,R600a,1114.82,0.5,1800.0,655.2,988.8,215.93,302.59,545.82,1.0,2.042,0.452,7.41,26.89,87.2,9.1,26.02,117.4,True,True,True,True,False,False,False,"V_c1, V_c2",ok,V_ONLY
R290,R600a,0.4,40,110.0,,R290,R600a,1114.82,0.5,1800.0,578.1,853.5,215.7,261.04,501.83,1.0,2.222,0.435,9.48,30.16,92.2,10.41,26.02,117.8,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,50,110.0,,R290,R600a,1114.82,0.5,1800.0,516.9,738.4,215.17,221.45,459.6,1.0,2.426,0.414,11.94,33.73,97.6,11.85,26.02,118.2,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
R290,R600a,0.4,60,110.0,,R290,R600a,1114.82,0.5,1800.0,469.2,640.0,215.04,183.8,419.84,1.0,2.655,0.386,14.86,37.64,103.3,13.44,26.02,118.6,False,True,True,True,False,False,False,"p_c1, V_c1, V_c2",ok,HARD
