f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600,R717/R600,0.5,60.0,110.0,3.063,0.449,V_OUT,1114.8,88.8,17.504,864.9,775.8,258.5,630.3,524.01,261.87,181.72,0.5
R717,R600,R717/R600,0.4,60.0,110.0,3.058,0.448,V_OUT,1114.8,89.225,17.8,879.6,789.0,249.7,708.9,524.59,261.87,182.25,0.499
R717,R600,R717/R600,0.3,60.0,110.0,3.034,0.444,V_OUT,1114.8,90.159,18.17,897.9,805.4,240.8,798.7,527.39,261.87,184.82,0.497
R717,R600a,R717/R600a,0.5,60.0,110.0,2.962,0.433,V_OUT,1114.8,91.277,17.582,868.8,779.3,253.3,568.8,536.42,261.87,193.1,0.488
R717,R600a,R717/R600a,0.4,60.0,110.0,2.932,0.429,V_OUT,1114.8,92.295,17.854,882.2,791.4,243.3,640.0,540.2,261.87,196.57,0.485
R717,R600a,R717/R600a,0.3,60.0,110.0,2.883,0.421,V_OUT,1114.8,93.911,18.204,899.5,806.9,233.1,720.9,546.65,261.87,202.49,0.479
R717,R600,R717/R600,0.5,50.0,110.0,2.75,0.472,V_OUT,1114.8,97.506,18.183,898.5,805.9,309.4,708.9,498.53,261.87,199.07,0.525
R290,R600,R290/R600,0.3,60.0,110.0,2.821,0.412,V_OUT,1114.8,97.708,20.233,999.8,896.8,440.9,798.7,555.18,261.87,210.31,0.472
R1270,R600,R1270/R600,0.3,60.0,110.0,2.776,0.405,V_OUT,1114.8,98.101,19.441,960.7,861.7,379.0,798.7,561.57,261.87,216.16,0.466
R717,R600,R717/R600,0.4,50.0,110.0,2.735,0.47,V_OUT,1114.8,98.356,18.591,918.6,824.0,296.6,818.1,500.69,261.87,201.11,0.523
R290,R600,R290/R600,0.4,60.0,110.0,2.751,0.401,V_OUT,1114.8,99.503,20.092,992.9,890.6,481.3,708.9,565.25,261.87,219.54,0.463
R717,R600,R717/R600,0.3,50.0,110.0,2.7,0.464,V_OUT,1114.8,99.937,19.125,945.0,847.7,283.6,946.5,505.95,261.87,206.07,0.518
R717,R600a,R717/R600a,0.5,50.0,110.0,2.653,0.455,V_OUT,1114.8,100.334,18.154,897.1,804.7,301.4,640.0,513.34,261.87,213.04,0.51
R290,R600a,R290/R600a,0.3,60.0,110.0,2.696,0.392,V_OUT,1114.8,101.815,20.766,1026.1,920.4,427.1,720.9,573.53,261.87,227.12,0.457
R717,R600a,R717/R600a,0.4,50.0,110.0,2.613,0.448,V_OUT,1114.8,101.955,18.52,915.1,820.9,286.9,738.4,519.74,261.87,219.08,0.504
R1270,R600a,R1270/R600a,0.3,60.0,110.0,2.656,0.386,V_OUT,1114.8,102.005,19.812,979.0,878.1,367.2,720.9,579.76,261.87,232.83,0.452
R290,R600a,R290/R600a,0.4,60.0,110.0,2.655,0.386,V_OUT,1114.8,102.897,20.64,1019.9,914.9,469.2,640.0,579.83,261.87,232.89,0.452
R717,R600a,R717/R600a,0.3,50.0,110.0,2.552,0.437,V_OUT,1114.8,104.439,19.012,939.5,842.7,271.8,853.5,529.9,261.87,228.66,0.494
R1270,R600,R1270/R600,0.3,50.0,110.0,2.54,0.435,V_OUT,1114.8,106.062,20.15,995.7,893.2,411.7,946.5,532.06,261.87,230.69,0.492
R290,R600,R290/R600,0.3,50.0,110.0,2.564,0.439,V_OUT,1114.8,106.268,21.101,1042.7,935.3,485.0,946.5,527.9,261.87,226.77,0.496
R717,R600,R717/R600,0.5,40.0,110.0,2.493,0.491,V_OUT,1114.8,106.488,19.046,941.1,844.2,375.2,798.7,491.12,261.87,217.79,0.533
R290,R600,R290/R600,0.4,50.0,110.0,2.524,0.432,V_OUT,1114.8,107.227,20.753,1025.5,919.9,534.2,818.1,534.78,261.87,233.26,0.49
R1270,R600,R1270/R600,0.4,50.0,110.0,2.491,0.426,V_OUT,1114.8,107.35,19.79,977.9,877.2,453.5,818.1,540.71,261.87,238.85,0.484
R717,R600,R717/R600,0.4,40.0,110.0,2.47,0.487,V_OUT,1114.8,107.87,19.596,968.3,868.6,356.9,946.5,495.26,261.87,221.81,0.529
R717,R600a,R717/R600a,0.5,40.0,110.0,2.4,0.472,V_OUT,1114.8,109.681,18.906,934.2,838.0,363.3,720.9,508.44,261.87,234.61,0.515
R290,R600,R290/R600,0.5,50.0,110.0,2.438,0.416,V_OUT,1114.8,110.143,20.653,1020.6,915.4,591.3,708.9,550.44,261.87,248.02,0.476
R717,R600,R717/R600,0.3,40.0,110.0,2.426,0.477,V_OUT,1114.8,110.269,20.36,1006.1,902.4,337.9,1126.0,503.49,261.87,229.81,0.52
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.414,0.412,V_OUT,1114.8,110.758,20.413,1008.7,904.8,395.0,853.5,554.95,261.87,252.26,0.472
R1270,R600a,R1270/R600a,0.4,50.0,110.0,2.395,0.409,V_OUT,1114.8,111.095,20.081,992.3,890.1,439.0,738.4,558.52,261.87,255.62,0.469
R290,R600a,R290/R600a,0.3,50.0,110.0,2.435,0.416,V_OUT,1114.8,111.174,21.538,1064.3,954.7,465.0,853.5,550.92,261.87,248.47,0.475
R290,R600a,R290/R600a,0.4,50.0,110.0,2.426,0.414,V_OUT,1114.8,111.174,21.21,1048.1,940.1,516.9,738.4,552.72,261.87,250.16,0.474
R717,R600a,R717/R600a,0.4,40.0,110.0,2.352,0.462,V_OUT,1114.8,112.03,19.386,957.9,859.3,342.1,853.5,517.97,261.87,243.87,0.506
R290,R600a,R290/R600a,0.5,50.0,110.0,2.368,0.404,V_OUT,1114.8,113.274,21.139,1044.6,937.0,576.5,640.0,564.0,261.87,260.78,0.464
R1270,R600,R1270/R600,0.3,40.0,110.0,2.324,0.456,V_OUT,1114.8,115.055,21.197,1047.4,939.6,455.3,1126.0,523.69,261.87,249.42,0.5
R1270,R600,R1270/R600,0.4,40.0,110.0,2.303,0.452,V_OUT,1114.8,115.217,20.555,1015.7,911.1,505.9,946.5,528.06,261.87,253.66,0.496
R717,R600a,R717/R600a,0.3,40.0,110.0,2.281,0.448,V_OUT,1114.8,115.573,20.07,991.8,889.6,319.8,1013.6,532.57,261.87,258.03,0.492
R290,R600,R290/R600,0.3,40.0,110.0,2.337,0.459,V_OUT,1114.8,115.656,22.262,1100.1,986.8,541.6,1126.0,520.95,261.87,246.76,0.503
R290,R600,R290/R600,0.4,40.0,110.0,2.321,0.456,V_OUT,1114.8,115.657,21.676,1071.1,960.8,602.7,946.5,524.18,261.87,249.89,0.5
R717,R600,R717/R600,0.5,30.0,110.0,2.278,0.506,V_OUT,1114.8,115.789,20.145,995.4,892.9,461.9,901.3,502.82,261.87,237.96,0.521
R717,R600,R717/R600,0.4,30.0,110.0,2.248,0.5,V_OUT,1114.8,117.813,20.878,1031.7,925.4,435.5,1098.1,509.28,261.87,244.42,0.514
R1270,R600,R1270/R600,0.5,40.0,110.0,2.233,0.438,V_OUT,1114.8,117.814,20.254,1000.9,897.8,564.2,798.7,543.17,261.87,268.31,0.482
R290,R600,R290/R600,0.5,40.0,110.0,2.259,0.443,V_OUT,1114.8,117.953,21.424,1058.6,949.6,672.8,798.7,537.47,261.87,262.78,0.487
R717,R600a,R717/R600a,0.5,30.0,110.0,2.189,0.486,V_OUT,1114.8,119.349,19.88,982.4,881.2,444.0,813.1,522.73,261.87,257.88,0.501
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,V_OUT,1114.8,119.541,20.73,1024.4,918.9,485.5,853.5,549.51,261.87,274.45,0.477
R290,R600a,R290/R600a,0.4,40.0,110.0,2.222,0.435,V_OUT,1114.8,120.181,22.021,1088.1,976.1,578.1,853.5,545.73,261.87,270.79,0.48
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,V_OUT,1114.8,120.596,21.32,1053.5,945.0,431.5,1013.6,551.73,261.87,276.61,0.475
