label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,15.0,20.0,3.0,84.194,0.2964,0.015026,66.553,811.38,-0.0,199.02,199.02
13,water (source),SRC_HX,source outlet,15.0,10.77,3.0,45.534,0.1624,0.015004,66.648,810.22,622.07,199.02,821.09
21,R1270,SRC_HX,COMP1,2.59357,10.77,6.9124,591.465,2.4031,0.183496,5.45,1713.27,255.28,105864.68,106119.96
22,R1270,COMP1,IHX,2.59357,89.97,28.4955,680.266,2.4525,0.048026,20.822,448.41,51878.11,128559.31,180437.42
22c,R1270,IHX,cc1,2.59357,61.0,28.4955,367.875,1.5371,0.005979,167.262,55.82,7811.6,128559.31,136370.91
23,R1270,cc1,VAL1,2.59357,61.0,28.4955,367.875,1.5371,0.005979,167.262,55.82,7811.6,128559.31,136370.91
24,R1270,VAL1,SRC_HX,2.59357,5.77,6.9124,367.875,1.6017,0.07717,12.958,720.53,11583.75,105864.68,117448.43
31,R600,IHX,COMP2,4.93248,61.0,5.7802,674.871,2.4792,0.355003,2.817,6303.77,42110.71,29299.42,71410.13
32,R600,COMP2,SNK_HX,4.93248,115.03,20.2302,736.628,2.511,0.089473,11.177,1588.77,92049.35,31789.28,123838.62
32c,R600,SNK_HX,cc2,4.93248,115.0,20.2302,510.611,1.9287,0.01128,88.654,200.29,36731.57,31789.28,68520.84
33,R600,cc2,VAL2,4.93248,115.0,20.2302,510.611,1.9287,0.01128,88.654,200.29,36731.57,31789.28,68520.84
34,R600,VAL2,IHX,4.93248,56.0,5.7802,510.611,1.9804,0.187296,5.339,3325.79,24076.81,29299.42,53376.24
41,water (sink),sink inlet,SNK_HX,0.5,110.0,1.4338,461.415,1.4188,0.000526,1901.896,0.95,48344.92,42.13,48387.05
43,water (sink),SNK_HX,sink outlet,0.5,110.0,1.4338,2691.061,7.2381,0.604646,1.654,1088.36,572077.54,42.13,572119.67
