f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,full_load_hours [h/a],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,5000,149.66,37.627
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,5500,146.267,34.206
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,6000,143.44,31.356
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,6500,141.047,28.944
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,7000,138.997,26.876
R1270,R600,R1270/R600,0.3,20.0,120.0,1.768,0.468,V_OUT,7500,137.22,25.084
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,V_OUT,5000,138.077,34.505
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,V_OUT,5500,134.966,31.368
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,V_OUT,6000,132.373,28.754
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,V_OUT,6500,130.179,26.542
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,V_OUT,7000,128.299,24.646
R1270,R600,R1270/R600,0.3,30.0,120.0,1.913,0.459,V_OUT,7500,126.669,23.003
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,V_OUT,5000,127.762,32.273
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,V_OUT,5500,124.852,29.34
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,V_OUT,6000,122.427,26.895
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,V_OUT,6500,120.375,24.826
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,V_OUT,7000,118.617,23.052
R1270,R600,R1270/R600,0.3,40.0,120.0,2.074,0.447,V_OUT,7500,117.092,21.516
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,V_OUT,5000,118.597,30.659
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,V_OUT,5500,115.832,27.872
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,V_OUT,6000,113.528,25.55
R1270,R600,R1270/R600,0.3,50.0,120.0,2.252,0.43,V_OUT,6500,111.579,23.584
