Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,15,20,3,84.19,296.4,2.985,0.199,-6.032e-11,0.199,0,-0,0,-0,-0,0
12,15,12.55,3,53.02,188.7,9.028,0.6019,0.4028,0.199,37.49,-1.234e-16,37.49,1724,-1.148e-14,1154
21,2.203,12.55,7.272,593.1,2400,239.3,108.6,0.167,108.5,0.5717,76.79,77.37,431.7,89.28,89.81
22,2.203,94.17,30.8,683.4,2450,406.1,184.3,55.34,129,39.19,91.34,130.5,89.28,89.28,89.28
22c,2.203,65,30.8,380.9,1574,305.1,138.5,9.501,129,6.727,91.34,98.07,89.28,89.28,89.28
23,2.203,65,30.8,380.9,1574,305.1,138.5,9.501,129,6.727,91.34,98.07,89.28,89.28,89.28
24,2.203,7.554,7.272,380.9,1644,259.8,118,9.498,108.5,32.51,76.79,109.3,431.7,89.28,116.9
31,7.649,65,8.692,644.1,2373,661.3,86.46,42.02,44.44,125.8,104,229.8,108.7,85.02,96.54
32,7.649,128,30.88,701,2401,1032,134.9,86.55,48.4,230,113.3,343.4,96.53,85.02,92.4
32c,7.649,125,30.88,557,2040,741.5,96.94,48.54,48.4,129,113.3,242.3,96.53,85.02,90.78
33,7.649,125,30.88,557,2040,741.5,96.94,48.54,48.4,129,113.3,242.3,96.53,85.02,90.78
34,7.649,60,8.692,557,2112,580.8,75.93,31.49,44.44,83.69,104,187.7,96.53,85.02,89.79
41,0.5,120,1.987,503.8,1528,29.4,58.81,58.71,0.09752,0,0,0,0,0,0
42,0.5,120,1.987,2706,7129,309.5,618.9,618.8,0.09752,107.6,-0,145.1,96.61,-0,130.3
