name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,153.8369,4.7732,-20.6675,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,425.7658,4.8746,-19.2084,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-675.2913,21.332,56.9116,99.7564,5.0,5.0,31.6562,1.0,1.0,0.981,0.3629,,,,,
SNK_HX,HeatExchanger,,,,,-1101.057,220.2114,220.2114,5.0,5.0,5.0,5.0,1.0,1.0,0.9165,0.9951,,,,,
SRC_HX,HeatExchanger,,,,,-521.4544,80.0727,61.5939,8.3025,5.0,5.0,6.5123,1.0,1.0,0.6236,0.9787,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2095,20.6675,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2051,19.2084,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
