f1,f2,ls,T_src,T_steam,no_solve_class,label_c1,label_c2,V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],binding,scale_k,m_steam [kg/s],m_steam [kg/h],Q_H [kW],W_el [kW],COP,p_low_c1 [bar],p_high_c1 [bar],T_disch_c1 [°C],p_low_c2 [bar],p_high_c2 [bar],T_disch_c2 [°C],p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,feasible,reason,status
R290,R600a,0.3,20,100,,R290,R600a,150.1,280.0,C2,0.1004,0.1004,361.3,226.4,112.17,2.019,5.34,18.97,70.7,5.74,22.03,106.7,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,20,110,,R290,R600a,128.3,280.0,C2,0.0948,0.0948,341.1,211.3,118.38,1.785,5.34,20.19,74.0,6.21,26.27,117.1,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,30,100,,R290,R600a,153.3,280.0,C2,0.1205,0.1205,433.9,272.0,121.88,2.231,7.14,21.9,75.8,6.87,22.03,107.1,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,30,110,,R290,R600a,133.4,280.0,C2,0.1137,0.1137,409.4,253.6,129.4,1.96,7.14,23.25,79.2,7.4,26.27,117.5,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,40,100,,R290,R600a,158.2,280.0,C2,0.144,0.144,518.6,325.0,130.78,2.485,9.35,25.16,81.5,8.15,22.03,107.5,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,40,110,,R290,R600a,139.9,280.0,C2,0.1359,0.1359,489.2,303.0,139.95,2.165,9.35,26.66,84.9,8.74,26.27,117.9,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,50,100,,R290,R600a,165.0,280.0,C2,0.1714,0.1714,617.2,386.8,138.62,2.791,12.0,28.78,87.7,9.59,22.03,108.0,True,True,True,True,True,True,True,,ok
R290,R600a,0.3,50,110,,R290,R600a,148.2,280.0,C2,0.1618,0.1618,582.3,360.7,149.86,2.407,12.0,30.44,91.2,10.26,26.27,118.3,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,20,100,,R290,R600a,207.6,280.0,C2,0.1237,0.1237,445.2,279.1,136.06,2.051,5.34,22.34,79.5,7.04,22.03,107.2,True,True,True,True,True,True,True,,ok
R290,R600a,0.4,20,110,,R290,R600a,188.8,280.0,C2,0.1197,0.1197,431.0,266.9,145.51,1.834,5.34,24.19,84.0,7.77,26.27,117.6,True,True,True,True,True,True,True,,ok
